Q20	Q30	Q40	EHFB	M22	M23	M24	M33	M34	M44
193.39846639380642	6.084799806817074	119.8623689766523	27.481010921780356	0.06396355849310749	0.0314411091231638	-0.028252276827393268	0.030857601354825723	-0.018411744309714383	0.014654958077995713
193.99887293421443	6.053239949696499	120.24385943933936	27.48961574517362	0.06306442111484113	0.030796210786322872	-0.027772576480094614	0.03034510748868943	-0.018032949295344793	0.014499169252408245
194.59927947462242	6.021680092575923	120.62534990202641	27.488106325757496	0.062069997497388715	0.030085916245291184	-0.02724485729872448	0.029832241803421446	-0.017640617963245155	0.0143158660343117
195.19773483068258	5.988429098801264	121.00973356728275	27.466299487492936	0.06111699996782041	0.029398288220812394	-0.026736355913277398	0.02933408838010658	-0.017265762371510833	0.01413534870491955
195.79440380389502	5.9536298056486485	121.39676606859115	27.41809175475103	0.06020534456742946	0.028731753095368944	-0.026246520972291347	0.028849483454371994	-0.016907605600913166	0.01395704551270876
196.39107277710747	5.918830512496033	121.78379856989955	27.34357393214692	0.05940175373553655	0.028128844900022414	-0.02581526640796453	0.02843636860107066	-0.01659277778260086	0.013704285138457162
196.98774175031988	5.884031219343417	122.17083107120794	27.25871076887703	0.05865829690674157	0.027564896048131775	-0.025418394814995426	0.028044265538987985	-0.016296940950792534	0.013424290685798451
197.58023496585838	5.8485389260853005	122.56411348329388	27.187494992272114	0.057941757467419676	0.02702082172276949	-0.02503390207330903	0.027642479886963237	-0.01600559578365354	0.013160167151847276
198.16979361126016	5.812559617637815	122.96178810464025	27.151737794765992	0.05724493923641927	0.026493603679829753	-0.024658076225537735	0.027228781561698587	-0.01571676680492879	0.01291078927235728
198.75935225666194	5.776580309190329	123.35946272598662	27.166977060028405	0.05655619258212473	0.025977501316772122	-0.024285940995328062	0.026798610175453572	-0.015427114256798994	0.012674378123593262
199.34891090206375	5.740601000742845	123.757137347333	27.239191236393786	0.05587156339240533	0.025471723811170417	-0.02391472850418849	0.026351965728228163	-0.015135847316838003	0.012450142883129081
199.94143254234262	5.707540789054311	124.15061567823403	27.367709336413185	0.05517793548309832	0.024970113107379226	-0.023539900644750002	0.02588451473598586	-0.014839666031778699	0.012236630338985376
200.5355619874191	5.676064561803237	124.54181698329131	27.534151724500916	0.054613865931199525	0.024535653916361953	-0.023251473915545252	0.025523114935518423	-0.014598219689172139	0.012035329079521404
201.12969143249558	5.644588334552164	124.93301828834859	27.687787631469597	0.054080983248923555	0.024108204270869932	-0.022991133753468698	0.02515982782729269	-0.014362930356439553	0.011832774402080507
201.72382087757202	5.613112107301092	125.32421959340589	27.78512653898749	0.05356432199015694	0.023681324140413226	-0.02274974916786942	0.024781727633762615	-0.014128152878326904	0.011627485571671684
