Q20,Q30
1.560000000000000000e+02,0.000000000000000000e+00
1.566413316219066019e+02,8.002299999382591483e-03
1.572280077058164522e+02,6.901069086627506510e-03
1.578873748976704405e+02,5.445621080240971301e-03
1.585259401690546213e+02,4.205240357597115827e-03
1.591937329277288882e+02,3.253988600067471166e-03
1.598233355439789989e+02,2.697316846961851297e-03
1.604874842461803439e+02,2.436657086978707282e-03
1.611074382305469328e+02,2.453855523281891354e-03
1.617708781883727625e+02,2.622356086372036859e-03
1.623830603807538466e+02,2.882017031822176577e-03
1.630477917497316014e+02,3.161567463846389359e-03
1.636499200731402084e+02,3.402475317747818365e-03
1.643179320790661393e+02,3.527853747399067614e-03
1.649114389207972806e+02,3.564947618489203596e-03
1.655849938651499826e+02,3.468134948336446585e-03
1.661721373167134743e+02,3.362142507233617343e-03
1.668502656898406542e+02,3.188252562251514804e-03
1.674317846551096522e+02,3.063007679036546145e-03
1.681124582706407864e+02,2.916213499119735091e-03
1.686882150732558614e+02,2.827931015762166853e-03
1.693697114882413928e+02,2.729703005527237512e-03
1.699397871833710099e+02,2.673239201396642849e-03
1.706214865882227514e+02,2.605689336994752858e-03
1.711859394485005055e+02,2.567545317145365595e-03
1.718674860680525285e+02,2.516550346484736946e-03
1.724261069650341653e+02,2.488780733272637387e-03
1.731071223248278272e+02,2.442632872595778756e-03
1.736596851946759443e+02,2.410085748274416132e-03
1.743400943227049424e+02,2.350744071818771513e-03
1.748865329650687386e+02,2.303695443237222668e-03
1.755661757423156075e+02,2.223610300946309969e-03
1.761068077862920802e+02,2.158739388711702813e-03
1.767852508892951846e+02,2.067349949388497948e-03
1.773202199029658175e+02,1.991643966066007979e-03
1.779969654018717051e+02,1.883624459868515856e-03
1.785269657542413881e+02,1.798601749968717052e-03
1.792012327460839458e+02,1.687753285950903751e-03
1.797268382938537172e+02,1.603142445328513323e-03
1.803978513785268376e+02,1.505855565403751550e-03
1.809193040876743339e+02,1.433959351589235215e-03
1.815863070500735716e+02,1.344913356836083349e-03
1.821041943220294286e+02,1.273865556558135843e-03
1.827666821398640593e+02,1.186372611838431689e-03
1.832814366390022940e+02,1.115333421782192542e-03
1.839389822554256853e+02,1.027895580773515892e-03
1.844510024092981837e+02,9.637355042527359899e-04
1.851029602761505828e+02,8.839741526402236389e-04
1.856126577788330678e+02,8.128962384750212152e-04
1.862587413692889413e+02,7.173242596006444531e-04
1.867666217376547593e+02,6.290788638030259984e-04
1.874064846607619188e+02,5.065111524419246055e-04
1.879132346645383791e+02,3.924338250245088086e-04
1.885484274908776854e+02,2.887922398785968130e-04
1.890525427408692565e+02,1.831394148754235081e-04
1.896801957558425329e+02,3.369408355473367273e-03
1.901861715612421335e+02,1.844726711666670738e-02
1.908056795487969453e+02,4.104272091273935413e-02
1.913081112523980210e+02,5.446493344884805604e-02
1.919173090052940438e+02,5.935346443795795623e-02
1.924164817198031869e+02,5.146586378454034993e-02
1.930164509880578123e+02,3.108356154997828427e-02
1.935169919178623559e+02,1.254038720788486910e-02
1.941121822888895281e+02,8.802187874817355491e-05
1.946184364379976728e+02,2.550035803381154112e-04
1.952120299221568303e+02,3.564565852469897089e-04
1.957239529890418339e+02,4.288704324913157964e-04
1.963126491112554675e+02,4.922231125795583804e-04
1.968278703643454435e+02,5.193814458368300937e-04
1.974105555932681568e+02,5.298093839890409855e-04
1.979309135590492588e+02,5.128851614839762896e-04
1.985108166697662000e+02,4.764365495315258650e-04
1.990407017664904572e+02,3.549474219554908270e-04
1.996213973871860219e+02,1.519817687188173422e-02
2.001547249400244652e+02,1.011847074364709831e-01
2.007069589700698202e+02,2.415213881227263881e-01
2.012147468421628389e+02,3.968609424635071714e-01
2.017394004758610038e+02,5.682249771057187315e-01
2.022408116557009237e+02,7.306920259131178819e-01
2.027581486558701442e+02,8.890505153945619243e-01
2.032693425289420475e+02,1.033198373269847314e+00
2.037651676440797530e+02,1.185724952280954092e+00
