Q20,Q30
1.560000000000000000e+02,0.000000000000000000e+00
1.565424404729712933e+02,3.272182877609094986e-04
1.571156606444890826e+02,8.387306520370330510e-05
1.577173896047353026e+02,7.086637943871677012e-05
1.583187570755230240e+02,6.158382324448742834e-05
1.589239744388731026e+02,4.763060724351087633e-05
1.595268366407606209e+02,3.728553881806594307e-05
1.601265110716371680e+02,2.993968810571691279e-05
1.607232237739185052e+02,2.710109991741081864e-05
1.613187361370449366e+02,2.608431398385760040e-05
1.619138512414866113e+02,2.704739264201177270e-05
1.625085748084933641e+02,3.005046061861521589e-05
1.631024792033095707e+02,3.282968523224096468e-05
1.636949577398305280e+02,3.654015835983419683e-05
1.642872198328481659e+02,3.687833798323773929e-05
1.648800690143511076e+02,3.623323652132373645e-05
1.654817210465909341e+02,3.219619594037826993e-05
1.660510839985362281e+02,3.237007170294178496e-05
1.668510506231550892e+02,1.467858604093310984e-06
1.671467727296127919e+02,2.382173071965683897e-01
1.676212943499516257e+02,6.581212368739697283e-01
1.682688409129096385e+02,6.134536459643530337e-01
1.689503724364248285e+02,5.966874466457199322e-01
1.696273358201491419e+02,6.029395013299092554e-01
1.702822789291755612e+02,6.254697495483025893e-01
1.709094869803595316e+02,6.578817896389659303e-01
1.715151631705967077e+02,6.905648171630618393e-01
1.721132869620531380e+02,7.141638844083407767e-01
1.727210156388566134e+02,7.159996138352884287e-01
1.733409759962951853e+02,6.988732528272242339e-01
1.739709784904202365e+02,6.697580494314875343e-01
1.746043902897582143e+02,6.386493556128316484e-01
1.752398917322686316e+02,6.137306203857324505e-01
1.758811180888526167e+02,6.002688391483326225e-01
1.765240947038139439e+02,6.040058462398546490e-01
1.771661850514003618e+02,6.254953598138771609e-01
1.778097171761536970e+02,6.633805059401187698e-01
1.784460074312093809e+02,8.338691078947004787e-01
1.790918349109707322e+02,9.336538870188557659e-01
1.797424441857999682e+02,9.900849813937411259e-01
1.803867280904046595e+02,1.022902533790053914e+00
1.810266556262396023e+02,1.058165171614530609e+00
1.816747744171756835e+02,1.025050370532455624e+00
1.823343813227364762e+02,1.025041331474840556e+00
1.830035662534391179e+02,1.007798970855152021e+00
1.836809900862584470e+02,9.841970255120987554e-01
1.843642288331618317e+02,9.629170278799912275e-01
1.850511696854786123e+02,9.476147055247596818e-01
1.857405836012200950e+02,9.372465580737128210e-01
1.864364224048467520e+02,9.326826742739624532e-01
1.871375031983790223e+02,9.346651838935727818e-01
1.878434313027133555e+02,9.430916561275334287e-01
1.885484898285416477e+02,9.601180836334956004e-01
1.892404478627815081e+02,9.929758020837435861e-01
1.899446621095718797e+02,1.056350931852954034e+00
1.906678003962448145e+02,1.191035704668935047e+00
1.914122857466853134e+02,1.458293825999164239e+00
1.922591208233970690e+02,1.312143897099704137e+00
1.930128029204206257e+02,1.082824830734300248e+00
1.937431993847368403e+02,8.423318236913709400e-01
1.944631871099959426e+02,5.981746181246742067e-01
1.951787019960581802e+02,3.591687330194750505e-01
1.959000498741549734e+02,1.431440724581136414e-01
1.965907088796051028e+02,2.136698145807325323e-08
1.974287960110376901e+02,1.684281522964071350e-05
1.982057371724775408e+02,2.035507239454306222e-05
1.989954745182296563e+02,2.323423794177318239e-05
1.997969845391002934e+02,2.452820520695686823e-05
2.006152608926847734e+02,2.464650791748398877e-05
2.014559480822861985e+02,1.151887416479077962e-05
2.022862363741636500e+02,3.196555480542374594e-01
2.029434651254372568e+02,7.555543300951677033e-01
2.036464103681061601e+02,1.076088317848219900e+00
2.042336297836942549e+02,1.686808819666759218e+00
2.049284440019734177e+02,1.944516058635158196e+00
2.058221399610104925e+02,2.135581836613965390e+00
2.065573774364232520e+02,2.244192994321921653e+00
2.073531370944470495e+02,2.340912361684294840e+00
2.081502360786586792e+02,2.432591524203636002e+00
2.088110650954571952e+02,2.510864023476857110e+00
2.143106951169474428e+02,3.235419263180357330e+00
2.142558247359916663e+02,3.986987241626073875e+00
2.142162718388998996e+02,4.732559473660321814e+00
2.141804685023733441e+02,5.458078319000805756e+00
2.141442103217014221e+02,6.158413502414240348e+00
2.141055656680692039e+02,6.826437697827532958e+00
2.140644858442074963e+02,7.459408254085181156e+00
2.140219002144976344e+02,8.061865120797101270e+00
2.139785540992461392e+02,8.642173081435158721e+00
2.139346586956593512e+02,9.205126688640467236e+00
2.138898556423937691e+02,9.752283068217273865e+00
2.138444820618939559e+02,1.027918542205058117e+01
2.138008066959473581e+02,1.077520691810071973e+01
2.137623125675645497e+02,1.122972146622577228e+01
2.137316814235791185e+02,1.163832382349305128e+01
2.137100857021216029e+02,1.199919278411509715e+01
2.136970482635910855e+02,1.231579860030134732e+01
2.136913947918036456e+02,1.258932147425483272e+01
2.136915355461403010e+02,1.282809326805037209e+01
2.136961598522861152e+02,1.303771355526504117e+01
2.137048929095261371e+02,1.323716948865686049e+01
2.137177791800364730e+02,1.343232876838655443e+01
2.137353505016849340e+02,1.362988863217007562e+01
2.137576756482842484e+02,1.382830796848780430e+01
2.137850573285117832e+02,1.402870878904808372e+01
2.138177361846218218e+02,1.423141946390528823e+01
2.138560481002555491e+02,1.443725464358917954e+01
2.139003367416640629e+02,1.464688856150586282e+01
2.139509649761614583e+02,1.486099656664323021e+01
2.140082805385053177e+02,1.508016661626158594e+01
2.140725776419475608e+02,1.530484755118840745e+01
2.141440477778803881e+02,1.553528616242310534e+01
2.142227199983831838e+02,1.577143924606066960e+01
2.143084070895150433e+02,1.601287753694769833e+01
2.144006964891050018e+02,1.625871909701870877e+01
2.144990783020809033e+02,1.650758108217110376e+01
2.146031739881905480e+02,1.675765756514793736e+01
2.147128888794437955e+02,1.700661033671054767e+01
2.148285625465975670e+02,1.725128323412474529e+01
2.149514560694685770e+02,1.748752529174539205e+01
2.150885918557708010e+02,1.771344157579980561e+01
2.148550631522345782e+02,1.820575050616013257e+01
