Q20	Q30	M_22	M_32	M_33	EHFB	isInterpolated
16.0	48.0	0.03158	-0.05499	0.1124	-1849.316362	False
16.0	52.0	0.02387	-0.04127	0.0836	-1843.930408	False
16.0	56.0	0.03207	-0.05656	0.1125	-1838.738294	False
16.0	60.0	0.037541015422048574	-0.06695327722735911	0.13067973678417388	-1834.1307028234773	True
20.0	0.0	0.02469	-2.395e-08	0.122	-1897.082897	False
20.0	4.0	0.02721	-0.01582	0.1535	-1894.438324	False
20.0	8.0	0.02043	-0.02352	0.1704	-1888.757765	False
20.0	12.0	0.02422	-0.04084	0.2173	-1880.348045	False
20.0	16.0	0.02291	-0.03637	0.1852	-1871.964863	False
20.0	20.0	0.02534	-0.04532	0.1576	-1864.802435	False
20.0	24.0	0.02309	-0.03925	0.07829	-1858.30523	False
20.0	28.0	0.02179	-0.03592	0.07076	-1860.213886	False
20.0	32.0	0.03166	-0.03733	0.05602	-1861.14459	False
20.0	36.0	0.0339	-0.03914	0.05586	-1861.438868	False
20.0	40.0	0.03386	-0.03914	0.05631	-1859.94807	False
20.0	44.0	0.03581	-0.05005	0.1197	-1856.181706	False
20.0	48.0	0.03986	-0.06808	0.1341	-1853.038111	False
20.0	52.0	0.02986	-0.05096	0.1021	-1849.594859	False
20.0	56.0	0.02383	-0.04053	0.07953	-1844.154183	False
20.0	60.0	0.0323	-0.05599	0.1079	-1838.997799	False
24.0	0.0	0.02269	-1.699e-07	0.1058	-1899.607784	False
24.0	4.0	0.02848	-0.02141	0.1478	-1896.46478	False
24.0	8.0	0.01895	-0.01692	0.1276	-1889.930535	False
24.0	12.0	0.02178	-0.03161	0.1822	-1881.220485	False
24.0	16.0	0.02276	-0.03755	0.1833	-1873.15233	False
24.0	20.0	0.02313	-0.0384	0.1408	-1866.349848	False
24.0	24.0	0.027	-0.03007	0.05108	-1857.924741	False
24.0	28.0	0.03111	-0.03643	0.05692	-1860.653164	False
24.0	32.0	0.03138	-0.03707	0.05574	-1861.920042	False
24.0	36.0	0.03267	-0.03759	0.05347	-1862.65618	False
24.0	40.0	0.03369	-0.03837	0.0537	-1862.130888	False
24.0	44.0	0.03021	-0.0396	0.09971	-1859.351311	False
24.0	48.0	0.03527981334735841	-0.0561753146413384	0.12147204797136268	-1856.2424270644603	True
24.0	52.0	0.03486	-0.05946	0.1155	-1852.766704	False
24.0	56.0	0.02661	-0.0449	0.08659	-1848.651007	False
24.0	60.0	0.02599	-0.04403	0.08477	-1843.191502	False
28.0	0.0	0.02342	3.582e-08	0.09597	-1901.379124	False
28.0	4.0	0.02918	-0.01377	0.1177	-1898.485968	False
28.0	8.0	0.02173	-0.02414	0.1546	-1891.32999	False
28.0	12.0	0.0208	-0.02383	0.1613	-1882.47904	False
28.0	16.0	0.02247	-0.03592	0.1749	-1874.587126	False
28.0	20.0	0.02411	-0.03866	0.1441	-1867.819412	False
28.0	24.0	0.02772	-0.04577	0.1503	-1861.287324	False
28.0	28.0	0.02795	-0.0312	0.04828	-1860.621798	False
28.0	32.0	0.03219	-0.03734	0.05497	-1862.635144	False
28.0	36.0	0.03074	-0.03535	0.05063	-1863.466542	False
28.0	40.0	0.03352	-0.0377	0.05144	-1863.740685	False
28.0	44.0	0.03067	-0.03179	0.09537	-1862.484237	False
28.0	48.0	0.0308	-0.04321	0.09565	-1859.082385	False
28.0	52.0	0.03922	-0.06609	0.1258	-1855.073928	False
28.0	56.0	0.03235	-0.05441	0.1041	-1852.962095	False
28.0	60.0	0.0254	-0.04225	0.07968	-1848.46641	False
32.0	0.0	0.02324	-1.819e-09	0.09201	-1901.953065	False
32.0	4.0	0.0309	-0.007331	0.1067	-1899.877168	False
32.0	8.0	0.02744	-0.02977	0.174	-1892.905699	False
32.0	12.0	0.02061	-0.01699	0.1437	-1884.130491	False
32.0	16.0	0.02149	-0.03019	0.1536	-1876.190488	False
32.0	20.0	0.02527	-0.04022	0.1505	-1869.334853	False
32.0	24.0	0.02241	-0.03542	0.1282	-1862.900565	False
32.0	28.0	0.02952	-0.03449	0.05488	-1859.919933	False
32.0	32.0	0.02877	-0.03204	0.0467	-1862.83983	False
32.0	36.0	0.03255	-0.03708	0.05201	-1864.25977	False
32.0	40.0	0.03018	-0.03386	0.0467	-1864.670854	False
32.0	44.0	0.03358	-0.028	0.09448	-1864.205979	False
32.0	48.0	0.02762	-0.03635	0.08295	-1862.060844	False
32.0	52.0	0.03099	-0.04644	0.09325	-1857.696909	False
32.0	56.0	0.03719	-0.06234	0.1157	-1855.352063	False
32.0	60.0	0.02961	-0.04908	0.09004	-1852.623227	False
36.0	0.0	0.02846	1.573e-07	0.09109	-1901.411761	False
36.0	4.0	0.0314	0.000276	0.09957	-1900.318306	False
36.0	8.0	0.02941	-0.01489	0.1144	-1894.678258	False
36.0	12.0	0.02055	-0.0173	0.1387	-1886.01107	False
36.0	16.0	0.02006	-0.02675	0.1342	-1877.996249	False
36.0	20.0	0.02401	-0.04098	0.1491	-1871.001852	False
36.0	24.0	0.02231	-0.03776	0.1276	-1864.445782	False
36.0	28.0	0.02305	-0.02431	0.03854	-1860.070573	False
36.0	32.0	0.02663	-0.02942	0.04349	-1862.21118	False
36.0	36.0	0.02944	-0.03253	0.04525	-1864.689335	False
36.0	40.0	0.03255	-0.03633	0.04901	-1865.657064	False
36.0	44.0	0.03004	-0.03282	0.04438	-1865.557013	False
36.0	48.0	0.02905	-0.03767	0.08426	-1864.245924	False
36.0	52.0	0.02642	-0.03816	0.07824	-1860.989031	False
