 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.39193467     -34.32856207       0.00000000       0.00000000       0.00000000       0.00000000
       0.39193467     -32.57812780       0.00000000       0.00000000       0.00000000       0.00000000
       0.39193467     -31.13168644       0.00000000       0.00000000       0.00000000       0.00000000
       0.39193467     -29.84289105       0.00000000       0.00000000       0.00000000       0.00000000
       0.39193467     -28.65588560       0.00000000       0.00000000       0.00000000       0.00000000
       0.39193467     -27.54190636       0.00000000       0.00000000       0.00000001       0.00000001
       0.39193467     -26.48370810       0.00000000       0.00000000       0.00000019       0.00000010
       0.39193467     -25.46993155       0.00000002       0.00000001       0.00000074       0.00000034
       0.39193467     -24.49259604       0.00000005       0.00000003       0.00000058       0.00000019
       0.39193467     -23.54582367       0.00000004       0.00000002       0.00000003       0.00000000
       0.39193467     -22.62512593       0.00000001       0.00000001       0.00000000       0.00000000
       0.39193467     -21.72697559       0.00000002       0.00000003       0.00000000       0.00000001
       0.39193467     -20.84853543       0.00000002       0.00000001       0.00000000       0.00000000
       0.39193467     -19.98747842       0.00000010       0.00000002       0.00000054       0.00000000
       0.39193467     -19.14186425       0.00000022       0.00000001       0.00000465       0.00000000
       0.39193467     -18.31005193       0.00000072       0.00000002       0.00006882       0.00000000
       0.39193467     -17.49063625       0.00000265       0.00000013       0.00076378       0.00000038
       0.39193467     -16.68240058       0.00000839       0.00000041       0.00322869       0.00000569
       0.39193467     -15.88428118       0.00003053       0.00000247       0.00991565       0.00014652
       0.39193467     -15.09533964       0.00011904       0.00001692       0.04076332       0.00292215
       0.39193467     -14.31474132       0.00045949       0.00009852       0.11995589       0.02041801
       0.39193467     -13.54173831       0.00192108       0.00063578       0.30730514       0.12547268
       0.39193467     -12.77565570       0.00725132       0.00343501       0.56826422       0.44891355
       0.39193467     -12.01588044       0.01903424       0.01149770       0.68480806       0.69125948
       0.39193467     -11.26185218       0.03262851       0.02319929       0.64898358       0.73644669
       0.39193467     -10.51305574       0.04109677       0.03142208       0.54725935       0.66310065
       0.39193467      -9.76901471       0.04570234       0.03335401       0.51330446       0.53533974
       0.39193467      -9.02928617       0.04829063       0.03284040       0.54240562       0.48005690
       0.39193467      -8.29345605       0.04742825       0.03345769       0.51149808       0.56506752
       0.39193467      -7.56113531       0.04548992       0.03329323       0.44945898       0.59690218
       0.39193467      -6.83195648       0.04679021       0.03038578       0.50915484       0.45364659
       0.39193467      -6.10557072       0.04910248       0.02776912       0.60757624       0.33372823
       0.39193467      -5.38164524       0.04857098       0.02788486       0.59729109       0.36060507
       0.39193467      -4.65986093       0.04681119       0.02896367       0.54368932       0.44471421
       0.39193467      -3.93991031       0.04596074       0.02900193       0.52642770       0.46784191
       0.39193467      -3.22149564       0.04515776       0.02896180       0.49865388       0.46663892
       0.39193467      -2.50432715       0.04448375       0.03001561       0.46110577       0.52093906
       0.39193467      -1.78812148       0.04506726       0.03110830       0.47330066       0.58809743
       0.39193467      -1.07260012       0.04556994       0.03106434       0.50016725       0.59600601
       0.39193467      -0.35748798       0.04452684       0.03054305       0.48100278       0.56254524
       0.39193467       0.35748798       0.04369102       0.03084622       0.45273990       0.56290452
       0.39193467       1.07260012       0.04458067       0.03188384       0.46395115       0.60242607
       0.39193467       1.78812148       0.04536625       0.03240042       0.47579852       0.61756686
