q20	q30	Q40	EHFB	E_zpe	B2020	B2030	B3030
800.0	32000.0	725660.7	-1883.480853	3.263	6.43174e-06	-2.36282e-07	9.18087e-09
800.0	36000.0	1108011.0	-1885.393904	5.344	5.74827e-07	6.65786e-09	9.8102e-10
800.0	40000.0	1124971.0	-1886.378975	5.0	6.23127e-07	4.87429e-09	1.0751e-09
800.0	44000.0	1141030.0	-1887.213157	4.735	7.45943e-07	-9.14609e-10	1.21878e-09
800.0	48000.0	1151973.0	-1887.905915	2.416	1.63986e-06	-2.64032e-08	2.32883e-09
800.0	52000.0	1232146.0	-1888.251728	5.839	5.51404e-06	-1.44243e-07	5.05302e-09
1000.0	-0.0	-4589.591	-1910.859841	3.463	7.16711e-06	-2.78611e-11	5.04551e-08
1000.0	4000.0	-1456.73	-1908.664929	3.224	9.28489e-06	-3.35014e-07	7.02569e-08
1000.0	8000.0	9752.342	-1903.855064	3.262	6.00124e-06	-3.09211e-07	7.00261e-08
1000.0	12000.0	26120.83	-1898.327441	3.047	4.80711e-06	-2.46294e-07	6.87106e-08
1000.0	16000.0	230064.0	-1893.423517	2.604	5.51541e-06	-2.28751e-07	1.0486e-08
1000.0	20000.0	379438.3	-1889.975899	2.69	6.702e-06	-2.46313e-07	9.72185e-09
1000.0	24000.0	482251.1	-1887.307884	2.555	6.85996e-06	-2.38074e-07	1.11333e-08
1000.0	28000.0	597025.2	-1885.003103	2.915	6.65061e-06	-2.37281e-07	9.16199e-09
1000.0	32000.0	706455.5	-1883.11169	3.183	7.01182e-06	-2.54705e-07	9.76175e-09
1000.0	36000.0	831771.5	-1886.416778	4.856	4.14185e-06	-1.53879e-07	6.91441e-09
1000.0	40000.0	929683.4	-1887.214325	4.385	4.01032e-06	-1.48791e-07	6.95383e-09
1000.0	44000.0	1023585.0	-1887.607682	4.201	4.4204e-06	-1.39831e-07	6.9614e-09
1000.0	48000.0	1111956.0	-1887.389846	4.944	5.10829e-06	-1.624e-07	7.62042e-09
1000.0	52000.0	1132185.0	-1886.931419	5.45	4.78681e-06	-1.33899e-07	5.52734e-09
1200.0	-0.0	-4898.155	-1914.10077	3.873	3.63017e-06	4.25801e-16	4.7012e-08
1200.0	4000.0	-4309.284	-1911.774378	3.534	4.80623e-06	-1.34257e-07	5.6676e-08
1200.0	8000.0	5799.617	-1905.920218	3.114	7.50247e-06	-4.71618e-07	8.85794e-08
1200.0	12000.0	159168.5	-1899.78337	2.557	8.8966e-06	-3.59424e-07	1.57286e-08
1200.0	16000.0	247839.6	-1895.244424	2.63	6.19214e-06	-2.51401e-07	1.11407e-08
1200.0	20000.0	335889.4	-1891.220217	2.616	5.75408e-06	-2.318e-07	1.01347e-08
1200.0	24000.0	506124.9	-1888.108354	2.643	6.74502e-06	-2.40805e-07	9.26294e-09
1200.0	28000.0	590809.3	-1885.58406	2.874	6.68293e-06	-2.37575e-07	9.11186e-09
1200.0	32000.0	703813.6	-1883.421681	3.094	6.55477e-06	-2.35093e-07	8.9224e-09
1200.0	36000.0	834557.4	-1885.18545	4.696	4.83065e-06	-1.68552e-07	7.2519e-09
1200.0	40000.0	932832.8	-1886.111344	4.426	4.45241e-06	-1.49126e-07	7.05798e-09
1200.0	44000.0	1035842.0	-1886.798533	5.334	4.7562e-06	-1.33537e-07	6.03248e-09
1200.0	48000.0	1137560.0	-1886.957053	5.357	4.77221e-06	-1.32966e-07	5.50783e-09
1200.0	52000.0	1246394.0	-1886.58645	5.778	4.955e-06	-1.29934e-07	4.70308e-09
1400.0	-0.0	-2580.646	-1916.094494	3.91	3.12794e-06	-1.3017e-15	4.62142e-08
1400.0	4000.0	-2843.064	-1914.138768	3.79	3.27741e-06	-3.3466e-08	4.90843e-08
1400.0	8000.0	81692.44	-1908.061452	2.663	4.59386e-06	-1.88565e-07	9.55588e-09
1400.0	12000.0	179437.5	-1902.762245	2.703	8.79535e-06	-3.52431e-07	1.518e-08
1400.0	16000.0	272058.3	-1897.659819	2.56	1.01793e-05	-3.93755e-07	1.61072e-08
1400.0	20000.0	359584.6	-1893.160115	2.641	6.88345e-06	-2.68249e-07	1.12646e-08
1400.0	24000.0	508727.0	-1889.654912	2.377	9.20719e-06	-3.14745e-07	1.35365e-08
1400.0	28000.0	617874.4	-1886.705157	2.888	6.73287e-06	-2.33028e-07	8.76052e-09
1400.0	32000.0	729480.8	-1884.102252	3.142	6.58692e-06	-2.29118e-07	8.45395e-09
1400.0	36000.0	809218.8	-1881.947243	3.16	6.44517e-06	-2.3307e-07	8.86239e-09
1400.0	40000.0	935590.6	-1884.863316	4.269	4.99217e-06	-1.63887e-07	7.60978e-09
