Z	min	max
15.0	1.2550421972976029e-14	1.4042137959383143e-10
16.0	2.0276884638456358e-11	3.506924278055998e-09
17.0	6.245268699843104e-09	3.1411126817559463e-07
18.0	7.844985463701501e-08	2.6530321928663022e-06
19.0	2.1426311197420495e-06	1.8880393885369232e-05
20.0	1.631984727100353e-05	0.00012997105245188972
21.0	8.567766665177176e-05	0.00043632091321753406
22.0	0.0005640241786614644	0.002587523034574241
23.0	0.0014646581466477117	0.004963308512972475
24.0	0.008375320976760015	0.025421232969507206
25.0	0.012638928594801518	0.02886116121241696
26.0	0.060535384546410255	0.1255105961851398
27.0	0.059057536800369057	0.09433265270787275
28.0	0.2354858009860596	0.3401693183136764
29.0	0.16279436134161931	0.1997969509691115
30.0	0.5486691442647651	0.6175641807618192
31.0	0.30812378353181497	0.32555545905043326
32.0	0.9179149066349905	0.9329713536529107
33.0	0.4769080243032538	0.477906816755322
34.0	1.343404116728598	1.3356547273686885
35.0	0.6848665569911624	0.6798225271439674
36.0	1.8884445032845931	1.8731547076905022
37.0	0.9528790372052987	0.9450860046146974
38.0	2.581853216424707	2.5606543029457924
39.0	1.2843956414931992	1.2738475715558026
40.0	3.4097766180951554	3.38177189139681
41.0	1.6650606942871387	1.651385431250238
42.0	4.318646442715156	4.283177087081391
43.0	2.0613954176364535	2.0444650279542
44.0	5.203794444699391	5.161055304493031
45.0	2.4068301474419433	2.387062677335741
46.0	5.812194566462619	5.764458592045774
47.0	2.5883990599344573	2.5671403512156235
48.0	5.7183835612607545	5.671418063415731
49.0	2.5926717293168258	2.5713779288552776
50.0	5.388736293711864	5.344478212721242
51.0	2.5926717293168258	2.5713779288552776
52.0	5.7183835612607545	5.671418063415731
53.0	2.5883990599344573	2.5671403512156235
54.0	5.812194566462619	5.764458592045774
55.0	2.4068301474419433	2.387062677335741
56.0	5.203794444699391	5.161055304493031
57.0	2.0613954176364535	2.0444650279542
58.0	4.318646442715156	4.283177087081391
59.0	1.6650606942871387	1.651385431250238
60.0	3.4097766180951554	3.38177189139681
61.0	1.2843956414931992	1.2738475715558026
62.0	2.581853216424707	2.5606543029457924
63.0	0.9528790372052987	0.9450860046146974
64.0	1.8884445032845931	1.8731547076905022
65.0	0.6848665569911624	0.6798225271439674
66.0	1.343404116728598	1.3356547273686885
67.0	0.4769080243032538	0.477906816755322
68.0	0.9179149066349905	0.9329713536529107
69.0	0.30812378353181497	0.32555545905043326
70.0	0.5486691442647651	0.6175641807618192
71.0	0.16279436134161931	0.1997969509691115
72.0	0.2354858009860596	0.3401693183136764
73.0	0.059057536800369057	0.09433265270787275
74.0	0.060535384546410255	0.1255105961851398
75.0	0.012638928594801518	0.02886116121241696
76.0	0.008375320976760015	0.025421232969507206
77.0	0.0014646581466477117	0.004963308512972475
78.0	0.0005640241786614644	0.002587523034574241
79.0	8.567766665177176e-05	0.00043632091321753406
80.0	1.631984727100353e-05	0.00012997105245188972
81.0	2.1426311197420495e-06	1.8880393885369232e-05
82.0	7.844985463701501e-08	2.6530321928663022e-06
83.0	6.245268699843104e-09	3.1411126817559463e-07
84.0	2.0276884638456358e-11	3.506924278055998e-09
85.0	1.2550421972976029e-14	1.4042137959383143e-10
