Z	min	max
36.0	1.1046303681455478e-06	0.0017452183040588642
37.0	0.00044582324653278944	0.0073866800173764124
38.0	0.0034039638308693294	0.05250004194988811
39.0	0.015949062081152536	0.10574357979067601
40.0	0.11345657149328464	0.6753738070327902
41.0	0.21930659186952944	0.677529424527816
42.0	1.4101213177182965	3.5020997256389
43.0	1.290879334017922	2.1901485520093416
44.0	6.697735390207147	8.225828062281142
45.0	3.557633764212849	3.898630716659779
46.0	12.802763552755698	10.519747436814535
47.0	4.805868374490001	4.202822106998736
48.0	11.273579756181443	8.878318167961506
49.0	3.7395347222516087	3.4703033912103365
50.0	8.138641342026578	7.18364617760624
51.0	3.7395347222516087	3.4703033912103365
52.0	11.273579756181443	8.878318167961506
53.0	4.805868374490001	4.202822106998736
54.0	12.802763552755698	10.519747436814535
55.0	3.557633764212849	3.898630716659779
56.0	6.697735390207147	8.225828062281142
57.0	1.290879334017922	2.1901485520093416
58.0	1.4101213177182965	3.5020997256389
59.0	0.21930659186952944	0.677529424527816
60.0	0.11345657149328464	0.6753738070327902
61.0	0.015949062081152536	0.10574357979067601
62.0	0.0034039638308693294	0.05250004194988811
63.0	0.00044582324653278944	0.0073866800173764124
64.0	1.1046303681455478e-06	0.0017452183040588642
