Q20	Q30	EHFB	M22	M23	M33
156.0	0.0	0.0001	0.007584999999999998	2.4009802127666643e-08	0.01856
156.58494601755	0.004418257525151149	0.00010000000091373352	0.007547673777278593	6.402091965762878e-05	0.01848714498480476
157.16997995435017	0.004568675788616385	0.00010000000372579482	0.007507365607213941	6.495289721781904e-05	0.018415408369690845
157.7548528149345	0.0005503611645491371	0.0001000000872167758	0.007463896132841811	2.250013992488932e-05	0.018344874126659333
158.33994749091065	0.0002093465280294681	0.0014127229718362243	0.007423122729718183	1.3845755417672692e-05	0.018273295603767004
158.92475879847538	0.00021369203083150456	0.003694584793471601	0.007382632493962379	1.3956737787889567e-05	0.018201653593725997
159.50989882667164	0.000217273800878696	0.006832752122214962	0.007342119050364763	1.4040901204571639e-05	0.018129971491000013
160.0946400870107	0.0002177317407268412	0.010859991371479845	0.0073040912156178235	1.4048959499076485e-05	0.01805975876396261
160.67980586496896	0.00022137733296975128	0.015784159482024652	0.007278789649547591	1.4291310810758133e-05	0.01799685091978437
161.2644855518912	0.000221974179442836	0.021504704401647395	0.007253506538820809	1.4432526418876148e-05	0.017933996271414735
161.8496552601779	0.00022431036029243328	0.027926288963503097	0.007228203816577995	1.4627725610172537e-05	0.017871088368946464
162.4342832911481	0.00022446336958373644	0.03493110925670575	0.00720292259708678	1.4748937046061008e-05	0.017808239402993118
163.0194345899444	0.00022675416672370528	0.042426956139466454	0.007177620743549091	1.4937831451103055e-05	0.017745333456880986
163.60402052723012	0.0002272567729419929	0.05029347059219994	0.007152341715969684	1.5065210745448308e-05	0.017682488884187022
164.18913227239557	0.00022973047538051445	0.05844084013160409	0.0071291221397528715	1.5303712280182666e-05	0.01762242405240697
164.77368376451875	0.00023082869447483317	0.0667846299386993	0.0071102747431566185	1.5591800098097558e-05	0.017568351168616336
165.35873736692892	0.0002332920042445211	0.07532976679601994	0.007091412538458659	1.592002697670652e-05	0.01751423133022338
165.9432590409484	0.000234677220429362	0.08405513043125766	0.007072566463421591	1.620548929107599e-05	0.01746016107300679
166.52823930247553	0.0002367090392701632	0.09297025056103163	0.007053706296332272	1.6507794323726877e-05	0.017406048138693068
167.11273222902187	0.00023785940828085543	0.10205486998878245	0.007034860981220514	1.6773660211395292e-05	0.017351980604248144
167.6976275819235	0.0002390224163149023	0.11131740297079575	0.007016002730193645	1.7034526868947908e-05	0.01729787583108718
168.28208932977273	0.0002393186073004293	0.1207382280035329	0.006997650418106923	1.7256118614743284e-05	0.017246632579316218
168.86689152729417	0.00023915927483521683	0.13030695935613165	0.006979815528104615	1.745323219562815e-05	0.017198385344453167
169.45131670592778	0.00023845465520449697	0.13997150016045945	0.006961991541597009	1.762479916222405e-05	0.01715016944262639
170.03602008807772	0.00023726120307827967	0.1497015005291456	0.006944158525574824	1.7772595663629104e-05	0.01710193080108923
170.62040122095064	0.00023612925026261135	0.1594459201814192	0.006926335381929387	1.7916788271717556e-05	0.01705371873625093
171.20500178455563	0.000234346141115043	0.1691725103704948	0.006908504809766537	1.803043767686444e-05	0.01700548885710241
171.7893302621787	0.0002335237966908528	0.17883223857420916	0.006890683566778035	1.817537667938836e-05	0.016957281038679425
172.3738246966911	0.00023205728647013795	0.1883935883735455	0.006871733148470713	1.8145583778610488e-05	0.016913733188226296
172.95809166811395	0.00023105670357931573	0.19784559030601376	0.006852157788123325	1.805179977786026e-05	0.01687283475426184
173.54247668913973	0.00022949771948143767	0.20721238405582623	0.006832577874123233	1.793640457207712e-05	0.01683192829730292
174.12667357748478	0.0002281424592832312	0.21650833679301582	0.0068130045024466694	1.7829205157874482e-05	0.016791034924339712
174.71094535028703	0.00022620457001651232	0.22575668049635	0.006793428007395556	1.7699439247947037e-05	0.0167501365617537
175.2950643054743	0.0002242258890070136	0.23497303600052358	0.006773856610408641	1.7568280019843134e-05	0.01670924891669217
175.87921860690923	0.00022163175954423176	0.2441794372086513	0.006754283393205975	1.7413142749666015e-05	0.016668359065684552
176.46325217110655	0.00021877931439408816	0.253380240946117	0.006731585342034123	1.7098712652008635e-05	0.01663326882932519
177.04728361442864	0.0002152210092713509	0.26249060851646516	0.006708071011538266	1.6717932327758954e-05	0.01659968887944297
177.63122563296025	0.00021036769177935273	0.2713798451761743	0.006684559062631237	1.6287421431744755e-05	0.016566114612614913
178.21512942534576	4.865010326903441e-05	0.2799016178858012	0.006660890222986773	7.715592545250473e-06	0.016532609337412865
178.7705334778069	0.1799607286433522	0.3061591371838955	0.006817313720120644	0.00045183526681813235	0.016424781312079653
179.2327071066276	0.5365831982200251	0.3407154022744133	0.007143885701460401	0.0007352327237127342	0.01625110024369506
179.62578848587103	0.9681407196174978	0.3673768389189257	0.0075339027815244635	0.0009210469132116398	0.016055716499824978
179.97999057443687	1.432087613019165	0.3809994721864904	0.007943396847348443	0.001037833392498821	0.015855503397212548
180.3107000663321	1.91303514626622	0.38070217249885585	0.008347424035232915	0.001103566009446419	0.015658434731419684
180.6268853954976	2.4035969958675016	0.3669458625630019	0.008746848338766086	0.0011317503353510826	0.015465187052954077
180.9336732270609	2.900085263673487	0.3407408453124023	0.009138807917482323	0.0011306515139273719	0.0152764749895288
181.23432510578647	3.400270475399357	0.3033778879188068	0.009521426800496115	0.0011060641905402872	0.015092586189838945
181.53074494227056	3.902919221845953	0.25630199042236795	0.009893878703899734	0.0010623109513157464	0.014913462029834717
181.82341202855784	4.407695912648259	0.20103023509878548	0.009851080366547006	0.0011232473429668402	0.01489452850172914
