 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       1.04377907     -26.44942692   0.27254763E-02   0.29084686E-02   0.99999998E+00   0.99999999E+00
       1.04377907     -25.09792472   0.13814048E-01   0.14082095E-01   0.10000000E+01   0.10000000E+01
       1.04377907     -23.82723040   0.23551193E-01   0.23352199E-01   0.10000000E+01   0.10000000E+01
       1.04377907     -22.61795356   0.14156762E-01   0.13755557E-01   0.10000000E+01   0.10000000E+01
       1.04377907     -21.45731396   0.32124804E-02   0.30230927E-02   0.99999999E+00   0.99999999E+00
       1.04377907     -20.33632318   0.38994532E-03   0.34204989E-03   0.99999025E+00   0.99999334E+00
       1.04377907     -19.24835086   0.48001075E-04   0.39183282E-04   0.97958832E+00   0.99452897E+00
       1.04377907     -18.18832319   0.68049898E-05   0.48479364E-05   0.14212688E-01   0.49407858E-01
       1.04377907     -17.15224198   0.83026422E-06   0.37616302E-06   0.12483775E-05   0.10108034E-04
       1.04377907     -16.13687984   0.12162324E-05   0.18428663E-06   0.23053144E-04   0.15407780E-06
       1.04377907     -15.13957815   0.51997547E-05   0.61473951E-06   0.19684597E-03   0.77355004E-06
       1.04377907     -14.15810823   0.28922573E-04   0.45528148E-05   0.29886437E-02   0.13078897E-03
       1.04377907     -13.19057299   0.18226933E-03   0.45492053E-04   0.22212844E-01   0.38965376E-02
       1.04377907     -12.23533535   0.11483190E-02   0.41172582E-03   0.11520116E+00   0.42801450E-01
       1.04377907     -11.29096499   0.67143330E-02   0.34137678E-02   0.41262260E+00   0.31213917E+00
       1.04377907     -10.35619784   0.21925672E-01   0.13842115E-01   0.63032195E+00   0.62754739E+00
       1.04377907      -9.42990483   0.37185326E-01   0.26482524E-01   0.60237845E+00   0.65925107E+00
       1.04377907      -8.51106721   0.43291039E-01   0.31442044E-01   0.50917047E+00   0.55027075E+00
       1.04377907      -7.59875691   0.45480405E-01   0.31237967E-01   0.50837871E+00   0.47621917E+00
       1.04377907      -6.69212048   0.45549147E-01   0.31277716E-01   0.50883577E+00   0.51451887E+00
       1.04377907      -5.79036598   0.44965841E-01   0.30737104E-01   0.48506134E+00   0.49372871E+00
       1.04377907      -4.89275191   0.46313575E-01   0.29984759E-01   0.53063033E+00   0.46869897E+00
       1.04377907      -3.99857783   0.46181905E-01   0.30541785E-01   0.52484752E+00   0.52458315E+00
       1.04377907      -3.10717630   0.44986898E-01   0.30306666E-01   0.49269110E+00   0.51494184E+00
       1.04377907      -2.21790566   0.45225173E-01   0.29259522E-01   0.51283344E+00   0.46168199E+00
       1.04377907      -1.33014365   0.44995545E-01   0.29759912E-01   0.50139599E+00   0.49769515E+00
       1.04377907      -0.44328152   0.44730177E-01   0.30603564E-01   0.48710513E+00   0.53325978E+00
       1.04377907       0.44328152   0.45344336E-01   0.30298110E-01   0.51589720E+00   0.50435295E+00
       1.04377907       1.33014365   0.44431274E-01   0.29910645E-01   0.51712244E+00   0.51001431E+00
       1.04377907       2.21790566   0.42434105E-01   0.29082374E-01   0.50307983E+00   0.52905095E+00
       1.04377907       3.10717630   0.41204492E-01   0.27712118E-01   0.51405459E+00   0.50633513E+00
       1.04377907       3.99857783   0.40524995E-01   0.27983176E-01   0.51057469E+00   0.53028619E+00
       1.04377907       4.89275191   0.41192285E-01   0.29625004E-01   0.51122032E+00   0.57327249E+00
       1.04377907       5.79036598   0.43088394E-01   0.30329102E-01   0.52398546E+00   0.52560338E+00
       1.04377907       6.69212048   0.44410941E-01   0.30693372E-01   0.50015644E+00   0.47486230E+00
       1.04377907       7.59875691   0.45974155E-01   0.31904989E-01   0.50383246E+00   0.48861284E+00
       1.04377907       8.51106721   0.47087586E-01   0.33095152E-01   0.52889667E+00   0.47978156E+00
       1.04377907       9.42990483   0.45745558E-01   0.34865839E-01   0.48514254E+00   0.50426299E+00
       1.04377907      10.35619784   0.45947352E-01   0.36001430E-01   0.49736507E+00   0.55033663E+00
       1.04377907      11.29096499   0.46520569E-01   0.34645195E-01   0.52162857E+00   0.48889559E+00
       1.04377907      12.23533535   0.44283730E-01   0.33670677E-01   0.49840816E+00   0.50627428E+00
       1.04377907      13.19057299   0.39383084E-01   0.29943125E-01   0.58274209E+00   0.64920765E+00
       1.04377907      14.15810823   0.24941364E-01   0.17257542E-01   0.65125563E+00   0.69966897E+00
       1.04377907      15.13957815   0.78193115E-02   0.45740938E-02   0.46847544E+00   0.46848356E+00
       1.04377907      16.13687984   0.11904216E-02   0.52524300E-03   0.13189336E+00   0.88541287E-01
       1.04377907      17.15224198   0.15105793E-03   0.49390406E-04   0.22534372E-01   0.95120818E-02
       1.04377907      18.18832319   0.18985505E-04   0.43685321E-05   0.18526314E-02   0.16592840E-03
       1.04377907      19.24835086   0.23407592E-05   0.35959352E-06   0.14722930E-03   0.75096921E-06
       1.04377907      20.33632318   0.46713577E-06   0.11794611E-06   0.33215159E-05   0.10752943E-06
       1.04377907      21.45731396   0.67707115E-07   0.44426319E-07   0.51706403E-08   0.86654991E-08
       1.04377907      22.61795356   0.25516068E-07   0.14083324E-07   0.15248402E-09   0.39055309E-10
       1.04377907      23.82723040   0.37156058E-07   0.32671175E-07   0.95178860E-09   0.78862652E-09
       1.04377907      25.09792472   0.30351278E-07   0.30250730E-07   0.46417049E-09   0.56031086E-09
       1.04377907      26.44942692   0.86568207E-07   0.82199179E-07   0.51470705E-07   0.98022721E-07
       1.04377907      27.91407075   0.14664733E-06   0.12877822E-06   0.15776169E-04   0.36304955E-04
       1.04377907      29.55465036   0.20557255E-07   0.17195747E-07   0.17210738E-04   0.34801579E-04
       1.04377907      31.53575878   0.21301126E-09   0.17152646E-09   0.26093433E-06   0.46642810E-06
       1.63713096     -31.53575878   0.86981879E-09   0.17867015E-08   0.21779123E-05   0.35454394E-02
       1.63713096     -29.55465036   0.11473378E-05   0.15658471E-05   0.75332504E+00   0.98766972E+00
       1.63713096     -27.91407075   0.97822075E-04   0.11420536E-03   0.99995392E+00   0.99999448E+00
       1.63713096     -26.44942692   0.16776109E-02   0.18040435E-02   0.99999994E+00   0.99999999E+00
       1.63713096     -25.09792472   0.83493283E-02   0.85549990E-02   0.10000000E+01   0.10000000E+01
       1.63713096     -23.82723040   0.13890620E-01   0.13814376E-01   0.10000000E+01   0.10000000E+01
       1.63713096     -22.61795356   0.81756577E-02   0.79493634E-02   0.10000000E+01   0.10000000E+01
       1.63713096     -21.45731396   0.18990883E-02   0.17832738E-02   0.99999996E+00   0.99999997E+00
       1.63713096     -20.33632318   0.26008679E-03   0.22789425E-03   0.99996894E+00   0.99997860E+00
       1.63713096     -19.24835086   0.33070282E-04   0.26745023E-04   0.93722884E+00   0.98693104E+00
       1.63713096     -18.18832319   0.50167901E-05   0.34907919E-05   0.88893952E-02   0.38067744E-01
       1.63713096     -17.15224198   0.98317663E-06   0.53176554E-06   0.31058264E-05   0.46809681E-04
       1.63713096     -16.13687984   0.10296834E-05   0.11352509E-06   0.99661490E-05   0.15881615E-07
       1.63713096     -15.13957815   0.46155113E-05   0.52649033E-06   0.43488864E-03   0.39705330E-05
       1.63713096     -14.15810823   0.25610404E-04   0.38874530E-05   0.27255805E-02   0.12041346E-03
       1.63713096     -13.19057299   0.15862692E-03   0.38758384E-04   0.19138236E-01   0.32364455E-02
       1.63713096     -12.23533535   0.97224822E-03   0.33916012E-03   0.96631736E-01   0.34503103E-01
