Q20	Q30	M_22	M_32	M_33	EHFB	isInterpolated
20.0	32.0	0.01988	-0.02287	0.03818	-1836.261802	False
20.0	36.0	0.02227	-0.02557	0.03952	-1836.038339	False
20.0	40.0	0.02076	-0.02387	0.0366	-1834.026793	False
20.0	44.0	0.01879	-0.02398	0.06207	-1829.762592	False
20.0	48.0	0.02001	-0.03364	0.06693	-1826.686246	False
20.0	52.0	0.01929	-0.03263	0.06456	-1822.367343	False
20.0	56.0	0.01623	-0.02725	0.05442	-1816.808145	False
20.0	60.0	0.01675	-0.02804	0.0562	-1811.052111	False
24.0	0.0	0.01144	-5.457e-09	0.07986	-1877.997555	False
24.0	4.0	0.01388	-0.008331	0.09689	-1874.128827	False
24.0	8.0	0.01713	-0.01674	0.122	-1864.280697	False
24.0	12.0	0.01447	-0.01734	0.1178	-1858.46723	False
24.0	16.0	0.01548	-0.02377	0.113	-1851.33391	False
24.0	20.0	0.01612	-0.02783	0.09526	-1843.644779	False
24.0	24.0	0.01839	-0.03175	0.09479	-1835.686765	False
24.0	28.0	0.01579	-0.02698	0.07862	-1827.879442	False
24.0	32.0	0.01936	-0.02274	0.03703	-1836.961005	False
24.0	36.0	0.02022	-0.02322	0.03577	-1837.714162	False
24.0	40.0	0.02228	-0.02541	0.03777	-1836.559028	False
24.0	44.0	0.01875	-0.02197	0.06021	-1832.894649	False
24.0	48.0	0.01858	-0.0308	0.06085	-1828.377551	False
24.0	52.0	0.02003	-0.03376	0.06546	-1826.041752	False
24.0	56.0	0.01699	-0.02828	0.05551	-1820.91853	False
24.0	60.0	0.01739	-0.02889	0.05672	-1815.983416	False
28.0	0.0	0.01099	-2.917e-09	0.07508	-1880.401974	False
28.0	4.0	0.0137	-0.003776	0.08814	-1876.984393	False
28.0	8.0	0.01451	-0.01204	0.1077	-1868.447418	False
28.0	12.0	0.01442	-0.01866	0.1178	-1859.988097	False
28.0	16.0	0.01426	-0.02086	0.1057	-1852.988723	False
28.0	20.0	0.0168	-0.02722	0.09547	-1845.468855	False
28.0	24.0	0.01697	-0.02793	0.08722	-1837.452107	False
28.0	28.0	0.01774	-0.02016	0.03457	-1835.513265	False
28.0	32.0	0.02149	-0.02543	0.04036	-1837.373079	False
28.0	36.0	0.01882	-0.02153	0.03328	-1838.600419	False
28.0	40.0	0.0207	-0.02331	0.03428	-1838.740296	False
28.0	44.0	0.0224	-0.02483	0.03681	-1836.74543	False
28.0	48.0	0.01778	-0.02381	0.05461	-1832.346226	False
28.0	52.0	0.01916	-0.03169	0.06084	-1828.93075	False
28.0	56.0	0.01978	-0.03284	0.06263	-1826.076133	False
28.0	60.0	0.01588	-0.02595	0.05006	-1820.756488	False
32.0	0.0	0.0121	-1.575e-08	0.07224	-1881.446397	False
32.0	4.0	0.01523	0.002269	0.08509	-1878.931396	False
32.0	8.0	0.01419	-0.008338	0.0964	-1871.131698	False
32.0	12.0	0.01428	-0.01883	0.1144	-1862.064789	False
32.0	16.0	0.01423	-0.01892	0.1028	-1854.746519	False
32.0	20.0	0.01755	-0.0242	0.09208	-1847.264401	False
32.0	24.0	0.01813	-0.02863	0.09685	-1838.219209	False
32.0	28.0	0.01775	-0.02935	0.08388	-1832.181869	False
32.0	32.0	0.0185	-0.02106	0.0335	-1837.606972	False
32.0	36.0	0.02131	-0.0246	0.03688	-1839.044202	False
32.0	40.0	0.01863	-0.02085	0.03099	-1839.824837	False
32.0	44.0	0.02115	-0.02343	0.03349	-1839.091962	False
32.0	48.0	0.01875	-0.02332	0.0545	-1835.93041	False
32.0	52.0	0.01674	-0.02514	0.05011	-1830.956524	False
32.0	56.0	0.01945	-0.032	0.05987	-1829.036659	False
32.0	60.0	0.01924	-0.03148	0.05868	-1825.485963	False
36.0	0.0	0.01689	2.931e-08	0.07147	-1880.948909	False
36.0	4.0	0.01835	0.007856	0.08287	-1879.579025	False
36.0	8.0	0.0143	-0.004335	0.07959	-1873.68861	False
36.0	12.0	0.0136	-0.01604	0.1038	-1864.548024	False
36.0	16.0	0.01483	-0.02128	0.1044	-1856.624179	False
36.0	20.0	0.01643	-0.02122	0.08523	-1849.115726	False
36.0	24.0	0.01869	-0.02937	0.09638	-1839.927573	False
36.0	28.0	0.01648	-0.02625	0.07504	-1833.876491	False
36.0	32.0	0.0168	-0.01842	0.02931	-1837.402952	False
36.0	36.0	0.01936	-0.02186	0.0328	-1839.39786	False
36.0	40.0	0.02081	-0.02339	0.03371	-1840.480349	False
36.0	44.0	0.01866	-0.02048	0.02975	-1840.566907	False
36.0	48.0	0.01896	-0.02289	0.05279	-1838.528062	False
36.0	52.0	0.01667	-0.02422	0.04837	-1834.161121	False
36.0	56.0	0.01819	-0.02972	0.05525	-1830.712962	False
36.0	60.0	0.01959	-0.03195	0.05873	-1828.877136	False
40.0	0.0	0.02317	-1.119e-07	0.06861	-1879.37029	False
40.0	4.0	0.02127	0.004412	0.0753	-1878.944826	False
40.0	8.0	0.01478	-0.002802	0.06622	-1875.530802	False
40.0	12.0	0.01448	-0.01157	0.09354	-1867.22871	False
40.0	16.0	0.01493	-0.02365	0.1022	-1858.649436	False
40.0	20.0	0.01487	-0.02128	0.0737	-1850.543458	False
40.0	24.0	0.01525	-0.02433	0.08041	-1842.819562	False
40.0	28.0	0.01574	-0.0247	0.0699	-1835.4767	False
40.0	32.0	0.01716	-0.02771	0.07193	-1829.606565	False
40.0	36.0	0.01684	-0.01818	0.02734	-1839.217323	False
40.0	40.0	0.02008	-0.02231	0.03191	-1840.820106	False
40.0	44.0	0.02027	-0.02216	0.0309	-1841.520816	False
40.0	48.0	0.01805	-0.01643	0.04513	-1841.016401	False
40.0	52.0	0.01849	-0.02436	0.05028	-1838.382724	False
40.0	56.0	0.01617	-0.02396	0.04582	-1833.830845	False
40.0	60.0	0.01852	-0.02984	0.05417	-1831.428714	False
44.0	0.0	0.01444	6.645e-09	0.06361	-1877.520117	False
44.0	4.0	0.0172	-0.0005135	0.06959	-1877.586487	False
44.0	8.0	0.0176	-0.005124	0.05829	-1876.383687	False
44.0	12.0	0.01714	-0.008609	0.08325	-1869.840623	False
44.0	16.0	0.01395	-0.02208	0.08993	-1860.913018	False
44.0	20.0	0.01446	-0.02587	0.08951	-1852.76011	False
44.0	24.0	0.01452	-0.02309	0.07797	-1844.147001	False
44.0	28.0	0.01544	-0.02451	0.06832	-1837.134756	False
44.0	32.0	0.01494	-0.0151	0.02486	-1837.449202	False
44.0	36.0	0.01732	-0.02793	0.06657	-1825.574482	False
44.0	40.0	0.0171	-0.01823	0.02621	-1840.670473	False
44.0	44.0	0.02067	-0.02253	0.03099	-1841.808727	False
44.0	48.0	0.01981	-0.01671	0.04531	-1841.903308	False
44.0	52.0	0.01635	-0.01992	0.04227	-1840.635861	False
44.0	56.0	0.01757	-0.02489	0.04729	-1837.279572	False
44.0	60.0	0.01648	-0.02617	0.04722	-1832.698194	False
48.0	0.0	0.01453	-1.158e-08	0.05569	-1876.040401	False
48.0	4.0	0.01474	-0.002245	0.05919	-1876.214572	False
48.0	8.0	0.02039	-0.009698	0.05526	-1876.37444	False
48.0	12.0	0.01722	-0.008399	0.06559	-1872.080004	False
48.0	16.0	0.01352	-0.01924	0.07644	-1863.296528	False
48.0	20.0	0.01564	-0.02549	0.08976	-1854.554849	False
48.0	24.0	0.01322	-0.02227	0.07143	-1845.909615	False
48.0	28.0	0.01461	-0.02279	0.06196	-1838.971013	False
48.0	32.0	0.01353	-0.01352	0.0217	-1837.670163	False
48.0	36.0	0.01541	-0.01591	0.02405	-1839.021663	False
48.0	40.0	0.01568	-0.0248	0.05671	-1821.923103	False
48.0	44.0	0.0174	-0.01822	0.02581	-1841.781335	False
48.0	48.0	0.01952	-0.01883	0.04594	-1842.273432	False
48.0	52.0	0.01586	-0.01925	0.0403	-1841.555497	False
48.0	56.0	0.01625	-0.02307	0.04307	-1839.369003	False
48.0	60.0	0.01559	-0.02348	0.04271	-1835.703486	False
52.0	0.0	0.01461	-9.1e-09	0.04758	-1874.881025	False
52.0	4.0	0.01418	-0.00458	0.05183	-1875.068519	False
52.0	8.0	0.014	-0.008334	0.05105	-1875.761103	False
52.0	12.0	0.01388	-0.007834	0.05084	-1873.6559	False
52.0	16.0	0.0152	-0.01931	0.07284	-1865.66586	False
52.0	20.0	0.01683	-0.02154	0.07982	-1856.559276	False
52.0	24.0	0.01655	-0.02266	0.07644	-1848.341597	False
52.0	28.0	0.01387	-0.02066	0.05519	-1841.044499	False
52.0	32.0	0.0165	-0.02551	0.06036	-1835.2721	False
52.0	36.0	0.01356	-0.01348	0.0204	-1839.297333	False
52.0	40.0	0.01624	-0.01688	0.02411	-1840.322617	False
52.0	44.0	0.01705807393519132	-0.01792313429179293	0.02854069334104281	-1841.6757018635806	True
52.0	48.0	0.0159	-0.01692	0.03926	-1842.420627	False
52.0	52.0	0.01715	-0.02113	0.04307	-1842.2512	False
52.0	56.0	0.01402	-0.01972	0.03664	-1840.830495	False
52.0	60.0	0.01633	-0.02443	0.04362	-1838.341768	False
56.0	0.0	0.0137	8.309e-10	0.0418	-1873.816715	False
56.0	4.0	0.01358	-0.004986	0.04491	-1874.081362	False
56.0	8.0	0.01529	-0.01131	0.05184	-1874.791049	False
56.0	12.0	0.0104	-0.006908	0.04729	-1873.868574	False
56.0	16.0	0.01643	-0.01839	0.06992	-1867.882863	False
56.0	20.0	0.01342	-0.007903	0.02582	-1856.580778	False
56.0	24.0	0.01501	-0.008547	0.03472	-1849.253226	False
56.0	28.0	0.01391	-0.02093	0.05535	-1843.294985	False
56.0	32.0	0.0163	-0.02443	0.05652	-1837.137861	False
56.0	36.0	0.01263	-0.01231	0.01891	-1839.194639	False
56.0	40.0	0.01363	-0.01343	0.01937	-1840.723831	False
