q20	q30	M_22	M_32	M_33	EHFB	isInterpolated
32.0	32.0	0.729708328385442	-1.0992484548505743	1.6460526149128398	-1861.2542113240975	True
36.0	0.0	0.3419	1.161e-06	0.124	-1914.550238	False
36.0	4.0	0.1224	0.01826	0.1247	-1913.100695	False
36.0	8.0	0.3828	-0.08568	0.421	-1905.865648	False
36.0	12.0	0.1661	-0.1273	1.378	-1895.509097	False
36.0	16.0	0.1104	0.0112	0.4577	-1888.066236	False
36.0	20.0	0.1531	-0.3013	1.14	-1881.826429	False
36.0	24.0	0.05001	-0.1206	0.4272	-1876.131771	False
36.0	28.0	0.09865	-0.158	0.2766	-1862.256683	False
36.0	32.0	0.1009	-0.1652	0.2813	-1858.283516	False
40.0	0.0	0.1985	5.461e-06	0.1455	-1912.868649	False
40.0	4.0	0.2075	0.01447	0.1076	-1912.630666	False
40.0	8.0	0.3031	-0.04451	0.1843	-1907.716528	False
40.0	12.0	0.1317	-0.01681	0.7226	-1898.089198	False
40.0	16.0	0.1154	-0.1383	0.8004	-1890.034182	False
40.0	20.0	0.1201	-0.2161	0.9142	-1882.832516	False
40.0	24.0	0.04661	-0.113	0.4153	-1877.251988	False
40.0	28.0	0.1357	-0.2148	0.3801	-1863.419171	False
40.0	32.0	0.05611	-0.09009	0.1547	-1858.781415	False
44.0	0.0	0.06324	-4.092e-07	0.1648	-1911.153391	False
44.0	4.0	0.2328	0.06347	0.1511	-1911.702231	False
44.0	8.0	0.2358	-0.02459	0.1548	-1908.949206	False
44.0	12.0	0.09688	-0.05953	0.356	-1901.338456	False
44.0	16.0	0.1153	-0.2504	0.8847	-1892.269439	False
44.0	20.0	0.04634	-0.0807	0.5555	-1884.223455	False
44.0	24.0	0.1572	-0.2407	0.8111	-1877.956466	False
44.0	28.0	0.1557	-0.2576	1.057	-1864.301602	False
44.0	32.0	0.08815	-0.137	0.2243	-1859.308922	False
48.0	0.0	0.2446	1.828e-07	0.217	-1909.792076	False
48.0	4.0	0.2141	0.04515	0.2319	-1910.526235	False
48.0	8.0	0.1919	-0.04033	0.122	-1909.533565	False
48.0	12.0	0.1467	-0.09766	0.4202	-1903.841156	False
48.0	16.0	0.04993	-0.1005	0.3577	-1894.769694	False
48.0	20.0	0.06604	-0.1336	0.6025	-1885.519592	False
48.0	24.0	0.1709	-0.3068	0.9732	-1879.110054	False
48.0	28.0	0.04659	-0.03203	0.2259	-1866.079645	False
48.0	32.0	0.165	-0.2606	0.4226	-1859.67137	False
52.0	0.0	0.0878	-1.197e-05	0.1284	-1909.770728	False
52.0	4.0	0.2232	-0.07472	0.1397	-1910.069392	False
52.0	8.0	0.1832	-0.0674	0.1168	-1909.458203	False
52.0	12.0	0.1497	-0.06952	0.2405	-1905.572369	False
52.0	16.0	0.04959	-0.04167	0.2556	-1897.287152	False
52.0	20.0	0.08179	-0.1383	0.4901	-1886.920295	False
52.0	24.0	0.148	-0.2629	0.7986	-1880.577976	False
52.0	28.0	0.03928	-0.05686	0.1202	-1868.310606	False
52.0	32.0	0.1502	-0.2363	0.413	-1860.092769	False
56.0	0.0	0.1992	-3.232e-07	0.08008	-1909.238176	False
56.0	4.0	0.1899	-0.02329	0.1311	-1909.534778	False
56.0	8.0	0.141	-0.03912	0.1198	-1908.952939	False
56.0	12.0	0.1305	-0.05768	0.1643	-1906.656091	False
56.0	16.0	0.05232	0.005955	0.1481	-1899.725302	False
56.0	20.0	0.2744	-0.224	0.2579	-1888.885069	False
56.0	24.0	0.0355	-0.04113	0.154	-1881.082367	False
56.0	28.0	0.03569	-0.04641	0.156	-1871.696992	False
56.0	32.0	0.04629	-0.06989	0.116	-1863.849765	False
60.0	0.0	0.1684	-6.454e-07	0.05988	-1908.622854	False
60.0	4.0	0.1538	-0.08573	0.1641	-1908.899378	False
60.0	8.0	0.133	-0.03717	0.1575	-1908.809513	False
60.0	12.0	0.1121	-0.06494	0.1754	-1907.197948	False
60.0	16.0	0.06349	-0.01232	0.1076	-1901.917416	False
60.0	20.0	0.09326	-0.07165	0.4517	-1891.406943	False
60.0	24.0	0.02121	-0.0277	0.06858	-1884.249164	False
60.0	28.0	4.324295312973277	-6.369849271198765	9.469095255076155	-1874.687078892969	True
60.0	32.0	0.09026	-0.05326	0.2375	-1864.656479	False
64.0	0.0	0.04251	-2.358e-08	0.04825	-1907.860993	False
64.0	4.0	0.2039	-0.0914	0.195	-1907.994875	False
64.0	8.0	0.1778	-0.03004	0.3131	-1908.345826	False
64.0	12.0	0.0833	-0.0144	0.09275	-1908.134096	False
64.0	16.0	0.2018	-0.07774	0.1426	-1903.765903	False
64.0	20.0	0.03995	-0.03272	0.1339	-1894.635722	False
64.0	24.0	0.165	-0.2413	0.3814	-1886.112789	False
64.0	28.0	0.02847	-0.04131	0.07066	-1878.523738	False
64.0	32.0	0.1119	-0.1665	0.2547	-1868.674483	False
68.0	0.0	0.08217	1.461e-07	0.0426	-1906.535943	False
68.0	4.0	0.09614	0.01883	0.05752	-1906.91751	False
68.0	8.0	0.1381	0.03014	0.1407	-1907.798117	False
68.0	12.0	0.1441	0.006358	0.05544	-1908.883301	False
68.0	16.0	0.07562	-0.04518	0.1031	-1905.676983	False
68.0	20.0	0.03414	-0.02019	0.09131	-1897.938317	False
68.0	24.0	0.2606	-0.1641	0.1417	-1888.263911	False
68.0	28.0	0.03434	-0.04964	0.08215	-1882.58075	False
68.0	32.0	0.03303	-0.04823	0.07704	-1873.962405	False
72.0	0.0	0.08311	3.553e-07	0.04255	-1904.882636	False
72.0	4.0	0.09456	0.01391	0.05422	-1905.538158	False
72.0	8.0	0.005454	-0.002718	0.06556	-1907.208059	False
72.0	12.0	0.00703	-0.006849	0.04184	-1909.099345	False
72.0	16.0	0.094	-0.05956	0.08793	-1907.282537	False
72.0	20.0	0.04127	-0.03723	0.1194	-1900.779398	False
72.0	24.0	0.1066	-0.08977	0.2217	-1890.886409	False
72.0	28.0	0.1311	-0.05092	0.09371	-1883.673967	False
72.0	32.0	1392.0	-2057.0	3038.0	-1875.500515	False
76.0	0.0	0.09607915222181873	0.024823207335089137	0.02204619375004313	-1903.9163143586193	True
76.0	4.0	0.1034	0.008758	0.05647	-1903.726468	False
76.0	8.0	0.009768	-0.009994	0.05988	-1905.855767	False
76.0	12.0	0.004847	-0.004413	0.04351	-1908.47191	False
76.0	16.0	0.08901	-0.06229	0.07799	-1908.225483	False
76.0	20.0	0.0536	-0.06121	0.1786	-1903.032322	False
76.0	24.0	0.1399	-0.1304	0.2301	-1894.155812	False
76.0	28.0	0.1545	-0.06993	0.07804	-1885.562987	False
76.0	32.0	0.1242	-0.1759	0.2628	-1878.965708	False
80.0	0.0	0.1195	-4.766e-07	0.06576	-1904.20167	False
80.0	4.0	0.12888188631913522	-0.030100846585895624	0.10904515988124786	-1903.0933020398138	True
80.0	8.0	0.09527	-0.02833	0.06671	-1903.561165	False
80.0	12.0	0.005646	0.0002315	0.05933	-1906.706322	False
80.0	16.0	0.006142	-0.004142	0.0337	-1908.286782	False
80.0	20.0	0.05747	-0.04345	0.09619	-1904.741212	False
80.0	24.0	0.1499	-0.1304	0.2491	-1897.124932	False
80.0	28.0	0.0842	-0.1011	0.2764	-1889.050157	False
80.0	32.0	0.2139	-0.2992	0.4352	-1881.58172	False
84.0	0.0	0.1211	1.778e-07	0.05671	-1905.925747	False
84.0	4.0	0.09862	-0.00396	0.09403	-1903.847462	False
84.0	8.0	0.13315170567906875	-0.04812343822298715	0.124928414451972	-1902.6087454885392	True
84.0	12.0	0.1361	-0.06945	0.1457	-1904.06389	False
84.0	16.0	0.009424	-0.00356	0.03158	-1907.183016	False
84.0	20.0	0.07058	-0.05368	0.08531	-1905.741379	False
84.0	24.0	0.1524	-0.1468	0.345	-1899.537462	False
84.0	28.0	0.08251	-0.0666	0.1491	-1891.887933	False
84.0	32.0	0.1426	-0.21	0.5715	-1885.198145	False
88.0	0.0	0.1451	-1.468e-07	0.0404	-1907.89202	False
88.0	4.0	0.1088	-0.02369	0.08982	-1905.183124	False
88.0	8.0	0.11314852924428465	-0.04797011344912505	0.118900468862563	-1901.9418294413622	True
88.0	12.0	0.09684	-0.04891	0.1137	-1901.625992	False
88.0	16.0	0.02399	-0.01057	0.03469	-1905.065144	False
88.0	20.0	0.07405	-0.05673	0.08225	-1905.823465	False
88.0	24.0	0.09343	-0.0817	0.2318	-1901.477984	False
88.0	28.0	0.1038	-0.1034	0.1749	-1894.649726	False
88.0	32.0	0.1011	-0.05341	0.06868	-1885.446732	False
92.0	0.0	0.2297	-4.904e-07	0.03848	-1909.866654	False
92.0	4.0	0.111	-0.01717	0.06018	-1906.731525	False
92.0	8.0	0.08101	-0.02552	0.06494	-1901.608958	False
92.0	12.0	0.06927090490131604	-0.01952457905414917	0.07381602123876974	-1900.3035102589372	True
92.0	16.0	0.09023	-0.04954	0.1068	-1902.512014	False
92.0	20.0	0.06635	-0.04759	0.07025	-1904.948187	False
92.0	24.0	0.05272	-0.0258	0.08638	-1902.836847	False
