q20	q30	M_22	M_32	M_33	EHFB	isInterpolated
16.0	44.0	0.1024	0.1598	0.3134	-1982.176544	False
16.0	48.0	0.05632	0.09297	0.1843	-1978.943564	False
16.0	52.0	0.006757721711693421	0.0030018634359478824	0.010133103619693884	-1978.074710601013	True
16.0	56.0	0.06916	0.1193	0.2268	-1978.079231	False
16.0	60.0	0.4187	0.759	1.4	-1977.133785	False
16.0	64.0	0.4184	0.756	1.39	-1972.98184	False
20.0	0.0	0.02475	1.066e-05	0.05861	-2026.986552	False
20.0	4.0	0.02493	0.03884	0.1443	-2022.275118	False
20.0	8.0	0.04528	0.07182	0.301	-2012.12691	False
20.0	12.0	0.03525	0.0254	0.2638	-2003.856038	False
20.0	16.0	0.01879	0.01819	0.1432	-1999.365994	False
20.0	20.0	0.03485059991882622	0.05839718209275446	0.16720090917180386	-1990.858249345525	True
20.0	24.0	0.01667	0.02663	0.05222	-1986.455608	False
20.0	28.0	0.006542	0.008267	0.02325	-1985.929251	False
20.0	32.0	0.03074115486421647	0.04275286102029696	0.10873171972889395	-1985.0404498884564	True
20.0	36.0	0.06673	0.09589	0.2131	-1985.764704	False
20.0	40.0	0.1092	0.1215	0.1428	-1985.744508	False
20.0	44.0	0.06756	0.08112	0.1929	-1985.345862	False
20.0	48.0	0.09762	0.1504	0.2834	-1983.031984	False
20.0	52.0	0.05938	0.09644	0.1858	-1979.832791	False
20.0	56.0	0.012514456658749396	0.015445863049713182	0.03509380221488101	-1979.3140464374374	True
20.0	60.0	0.058	0.09735	0.1805	-1979.37837	False
20.0	64.0	0.3803	0.6736	1.213	-1978.058052	False
24.0	0.0	0.004762	6.569e-07	0.06174	-2027.293525	False
24.0	4.0	0.0308	0.03657	0.1402	-2022.613398	False
24.0	8.0	0.03508	0.06018	0.2831	-2012.932402	False
24.0	12.0	0.03484	0.01765	0.2316	-2004.715609	False
24.0	16.0	0.02013	0.01928	0.1405	-2000.388939	False
24.0	20.0	0.03351	0.05033	0.1198	-1988.412973	False
24.0	24.0	0.02167594323205435	0.045114777879305734	0.11493636822398656	-1987.5272545457883	True
24.0	28.0	0.01213	0.01785	0.03906	-1987.024821	False
24.0	32.0	0.014578115704807715	0.01344790104352711	0.02891111650651368	-1987.1931615959584	True
24.0	36.0	0.0476	0.05059	0.1447	-1986.954532	False
24.0	40.0	0.07872	0.08876	0.2252	-1986.920133	False
24.0	44.0	0.1061	0.1178	0.1387	-1986.086738	False
24.0	48.0	0.06018	0.08653	0.1735	-1984.515334	False
24.0	52.0	0.07256	0.1178	0.22	-1982.195748	False
