       Z           N           Q20         Q30         BE              E0            M22           M32           M33
      100.00      158.00        0.00        0.00    -1881.3750        1.7659        0.0564       -0.0000        0.7607
      100.00      158.00        0.00        4.00    -1882.4570        1.2223        0.0892       -0.1539        0.8396
      100.00      158.00        0.00        8.00    -1879.5000        0.9862        0.0798       -0.0268        1.1290
      100.00      158.00        0.00       12.00    -1877.0850        0.8039        0.1359       -0.3385        1.9000
      100.00      158.00        0.00       16.00    -1855.6520        0.9568        0.1249       -0.2460        0.5473
      100.00      158.00        0.00       20.00    -1852.2310        0.8263        0.1008       -0.1990        0.8659
      100.00      158.00        0.00       24.00    -1839.9040        1.0020        0.0947       -0.1938        0.5916
      100.00      158.00        0.00       28.00    -1829.1510        0.8658        0.1183       -0.2538        0.6942
      100.00      158.00        0.00       32.00    -1836.1050        0.9317        0.2254       -0.4743        1.0520
      100.00      158.00        0.00       36.00    -1832.0050        0.8091        0.1173       -0.2444        0.5526
      100.00      158.00        0.00       40.00    -1826.1320        0.7288        0.1349       -0.2656        0.6052
      100.00      158.00        0.00       44.00    -1819.2790        2.1513        0.1165       -0.2168        0.5602
      100.00      158.00        0.00       48.00    -1812.1240        0.5831        0.0849       -0.1484        0.3987
      100.00      158.00        0.00       52.00    -1803.5640        0.4696        0.1135       -0.2211        0.5513
      100.00      158.00        0.00       56.00    -1795.1960        1.7581        0.1069       -0.2159        0.5003
      100.00      158.00        0.00       60.00    -1786.1620        0.5720        0.0430       -0.0774        0.2092
      100.00      158.00        4.00        0.00    -1881.9810        1.9213        0.0532        0.0000        0.8005
      100.00      158.00        4.00        4.00    -1882.4880        1.1862        0.0844       -0.1429        0.7824
      100.00      158.00        4.00        8.00    -1879.2930        1.1775        0.0786       -0.0435        0.9314
      100.00      158.00        4.00       12.00    -1877.0730        0.8716        0.0807       -0.1185        1.1890
      100.00      158.00        4.00       16.00    -1860.8650        0.9948        0.1570       -0.2276        0.6135
      100.00      158.00        4.00       20.00    -1855.2290        0.8694        0.0938       -0.1526        0.9157
      100.00      158.00        4.00       24.00    -1843.6610        0.9659        0.1259       -0.2324        0.7483
      100.00      158.00        4.00       28.00    -1832.9620        0.9237        0.1277       -0.2719        0.7261
      100.00      158.00        4.00       32.00    -1847.2130        2.0837        0.2799       -0.3428        0.4395
      100.00      158.00        4.00       36.00    -1842.7780        2.0910        0.1451       -0.2151        0.5585
      100.00      158.00        4.00       40.00    -1838.8200        0.8885        0.0979       -0.1868        0.3942
      100.00      158.00        4.00       44.00    -1831.6420        0.8110        0.1196       -0.2321        0.4845
      100.00      158.00        4.00       48.00    -1827.4320        0.7352        0.1443       -0.2816        0.5777
      100.00      158.00        4.00       52.00    -1820.4140        0.8060        0.0859       -0.1547        0.3418
      100.00      158.00        4.00       56.00    -1814.3570        1.7705        0.1304       -0.2376        0.5227
      100.00      158.00        4.00       60.00    -1806.6090        1.4898        0.0951       -0.1663        0.3749
      100.00      158.00        8.00        0.00    -1883.7920        2.0541        0.0561        0.0000        0.7295
      100.00      158.00        8.00        4.00    -1883.0810        1.2229        0.0643       -0.0788        0.5578
      100.00      158.00        8.00        8.00    -1879.6750        1.2861        0.0943       -0.1308        1.0870
      100.00      158.00        8.00       12.00    -1876.8970        1.0191        0.0915       -0.0455        1.0560
      100.00      158.00        8.00       16.00    -1860.0800        1.0386        0.0906       -0.1199        0.3648
      100.00      158.00        8.00       20.00    -1855.7470        0.9863        0.1351       -0.2481        0.4780
      100.00      158.00        8.00       24.00    -1847.3690        0.8059        0.1306       -0.2565        0.7485
      100.00      158.00        8.00       28.00    -1851.1100        1.5729        0.1778       -0.3233        0.6113
      100.00      158.00        8.00       32.00    -1851.0090        2.0942        0.2296       -0.2791        0.3590
      100.00      158.00        8.00       36.00    -1846.8530        2.2777        0.2304       -0.2817        0.3651
      100.00      158.00        8.00       40.00    -1843.1450        0.8611        0.4395       -0.8354        1.6240
