 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.90337623     -28.20787990       0.00000000       0.00000000       0.00000000       0.00000000
       0.90337623     -27.11131660       0.00000000       0.00000000       0.00000001       0.00000000
       0.90337623     -26.06966219       0.00000000       0.00000000       0.00000017       0.00000002
       0.90337623     -25.07173501       0.00000002       0.00000001       0.00000092       0.00000015
       0.90337623     -24.10967915       0.00000005       0.00000003       0.00000115       0.00000023
       0.90337623     -23.17770861       0.00000005       0.00000003       0.00000014       0.00000004
       0.90337623     -22.27140504       0.00000001       0.00000001       0.00000000       0.00000000
       0.90337623     -21.38729637       0.00000002       0.00000002       0.00000000       0.00000000
       0.90337623     -20.52258973       0.00000001       0.00000001       0.00000000       0.00000000
       0.90337623     -19.67499447       0.00000002       0.00000001       0.00000001       0.00000000
       0.90337623     -18.84260063       0.00000004       0.00000001       0.00000000       0.00000000
       0.90337623     -18.02379285       0.00000012       0.00000002       0.00000012       0.00000000
       0.90337623     -17.21718789       0.00000056       0.00000007       0.00000431       0.00000003
       0.90337623     -16.42158817       0.00000193       0.00000027       0.00008203       0.00000252
       0.90337623     -15.63594656       0.00000715       0.00000110       0.00036189       0.00007777
       0.90337623     -14.85933932       0.00003340       0.00000743       0.00187604       0.00045935
       0.90337623     -14.09094486       0.00014375       0.00004142       0.01174710       0.00516035
       0.90337623     -13.33002697       0.00063582       0.00023322       0.05545109       0.03346583
       0.90337623     -12.57592129       0.00294171       0.00140370       0.22639252       0.18425208
       0.90337623     -11.82802434       0.01050406       0.00610982       0.50826792       0.49754995
       0.90337623     -11.08578455       0.02418096       0.01598781       0.64599509       0.66711750
       0.90337623     -10.34869478       0.03690440       0.02637391       0.62714793       0.66329672
       0.90337623      -9.61628608       0.04312663       0.03175629       0.54104213       0.57106804
       0.90337623      -8.88812244       0.04539576       0.03290133       0.49816447       0.49472664
       0.90337623      -8.16379628       0.04651018       0.03303744       0.51779997       0.51163153
       0.90337623      -7.44292463       0.04607284       0.03304749       0.51065190       0.56773375
       0.90337623      -6.72514577       0.04481809       0.03176695       0.46944218       0.52680886
       0.90337623      -6.01011632       0.04503768       0.02999917       0.48828348       0.44732804
       0.90337623      -5.29750868       0.04584721       0.02964804       0.52899542       0.45653816
       0.90337623      -4.58700873       0.04532830       0.03016408       0.51274865       0.51423397
       0.90337623      -3.87831381       0.04425195       0.02985163       0.47956314       0.51305072
       0.90337623      -3.17113082       0.04408979       0.02916735       0.47965172       0.47696142
       0.90337623      -2.46517454       0.04479588       0.02954152       0.49250165       0.49235601
       0.90337623      -1.76016602       0.04557959       0.03042602       0.50314171       0.53731314
       0.90337623      -1.05583110       0.04559175       0.03036921       0.51357824       0.54215649
       0.90337623      -0.35189902       0.04455872       0.02956117       0.50171132       0.51124674
       0.90337623       0.35189902       0.04417012       0.02921268       0.48583847       0.49349745
       0.90337623       1.05583110       0.04564795       0.02963728       0.50967701       0.50165581
       0.90337623       1.76016602       0.04680120       0.03017969       0.53228414       0.51188538
       0.90337623       2.46517454       0.04563854       0.03034676       0.50590308       0.51390614
       0.90337623       3.17113082       0.04435173       0.03016412       0.48108007       0.50396694
       0.90337623       3.87831381       0.04523426       0.03032366       0.50934467       0.49657233
       0.90337623       4.58700873       0.04640518       0.03146923       0.52494452       0.51860046
       0.90337623       5.29750868       0.04609019       0.03285876       0.50121147       0.55087521
       0.90337623       6.01011632       0.04574018       0.03305735       0.50212742       0.53501532
       0.90337623       6.72514577       0.04595831       0.03254667       0.51830861       0.48235030
       0.90337623       7.44292463       0.04576438       0.03331902       0.49416821       0.49030739
       0.90337623       8.16379628       0.04610851       0.03506091       0.48800812       0.55755781
       0.90337623       8.88812244       0.04744026       0.03545018       0.52885807       0.56393023
       0.90337623       9.61628608       0.04745526       0.03447011       0.52743100       0.49646425
       0.90337623      10.34869478       0.04561809       0.03381574       0.49960236       0.49059614
       0.90337623      11.08578455       0.04270317       0.03227386       0.54398781       0.58044128
       0.90337623      11.82802434       0.03583521       0.02618658       0.63930567       0.67787938
       0.90337623      12.57592129       0.02259348       0.01518349       0.66094229       0.67740217
       0.90337623      13.33002697       0.00930175       0.00545851       0.52037689       0.49471049
       0.90337623      14.09094486       0.00247468       0.00117611       0.23289935       0.17106011
       0.90337623      14.85933932       0.00051880       0.00018714       0.05960060       0.02869821
       0.90337623      15.63594656       0.00011643       0.00003293       0.01355380       0.00435562
       0.90337623      16.42158817       0.00002711       0.00000576       0.00236001       0.00041626
       0.90337623      17.21718789       0.00000565       0.00000078       0.00048549       0.00003496
       0.90337623      18.02379285       0.00000140       0.00000017       0.00007400       0.00000131
       0.90337623      18.84260063       0.00000044       0.00000005       0.00000301       0.00000001
       0.90337623      19.67499447       0.00000011       0.00000001       0.00000026       0.00000000
       0.90337623      20.52258973       0.00000003       0.00000001       0.00000000       0.00000000
       0.90337623      21.38729637       0.00000002       0.00000001       0.00000000       0.00000000
       0.90337623      22.27140504       0.00000001       0.00000001       0.00000000       0.00000000
       0.90337623      23.17770861       0.00000003       0.00000003       0.00000001       0.00000008
       0.90337623      24.10967915       0.00000003       0.00000003       0.00000014       0.00000113
       0.90337623      25.07173501       0.00000001       0.00000001       0.00000015       0.00000110
       0.90337623      26.06966219       0.00000000       0.00000000       0.00000004       0.00000022
       0.90337623      27.11131660       0.00000000       0.00000000       0.00000000       0.00000001
       0.90337623      28.20787990       0.00000000       0.00000000       0.00000000       0.00000000
       0.90337623      29.37632773       0.00000000       0.00000000       0.00000000       0.00000000
       0.90337623      30.64497411       0.00000000       0.00000000       0.00000000       0.00000000
       0.90337623      32.06880183       0.00000000       0.00000000       0.00000000       0.00000000
       0.90337623      33.79186983       0.00000000       0.00000000       0.00000000       0.00000000
       1.41660717     -33.79186983       0.00000000       0.00000000       0.00000000       0.00000000
       1.41660717     -32.06880183       0.00000000       0.00000000       0.00000000       0.00000000
       1.41660717     -30.64497411       0.00000000       0.00000000       0.00000000       0.00000000
       1.41660717     -29.37632773       0.00000000       0.00000000       0.00000000       0.00000000
       1.41660717     -28.20787990       0.00000000       0.00000000       0.00000000       0.00000000
       1.41660717     -27.11131660       0.00000000       0.00000000       0.00000001       0.00000000
       1.41660717     -26.06966219       0.00000000       0.00000000       0.00000013       0.00000002
       1.41660717     -25.07173501       0.00000001       0.00000001       0.00000075       0.00000015
       1.41660717     -24.10967915       0.00000004       0.00000002       0.00000099       0.00000027
       1.41660717     -23.17770861       0.00000004       0.00000003       0.00000013       0.00000006
       1.41660717     -22.27140504       0.00000001       0.00000001       0.00000000       0.00000000
       1.41660717     -21.38729637       0.00000001       0.00000001       0.00000000       0.00000000
       1.41660717     -20.52258973       0.00000001       0.00000000       0.00000000       0.00000000
       1.41660717     -19.67499447       0.00000003       0.00000001       0.00000001       0.00000000
       1.41660717     -18.84260063       0.00000003       0.00000001       0.00000000       0.00000000
       1.41660717     -18.02379285       0.00000010       0.00000001       0.00000009       0.00000000
       1.41660717     -17.21718789       0.00000052       0.00000006       0.00000543       0.00000003
       1.41660717     -16.42158817       0.00000182       0.00000025       0.00009376       0.00000504
       1.41660717     -15.63594656       0.00000661       0.00000097       0.00040266       0.00009874
       1.41660717     -14.85933932       0.00003050       0.00000648       0.00189707       0.00046255
       1.41660717     -14.09094486       0.00013033       0.00003643       0.01150997       0.00502766
       1.41660717     -13.33002697       0.00056250       0.00019924       0.05246277       0.03103324
       1.41660717     -12.57592129       0.00257445       0.00118988       0.21281056       0.17399151
       1.41660717     -11.82802434       0.00937929       0.00533944       0.49529849       0.49655769
       1.41660717     -11.08578455       0.02239645       0.01463393       0.64626096       0.68496544
       1.41660717     -10.34869478       0.03543865       0.02528466       0.63803322       0.69820269
       1.41660717      -9.61628608       0.04236078       0.03145226       0.55294242       0.61474205
       1.41660717      -8.88812244       0.04496886       0.03281240       0.50072204       0.51520123
       1.41660717      -8.16379628       0.04637566       0.03239786       0.51789378       0.47882336
       1.41660717      -7.44292463       0.04645505       0.03212882       0.52716264       0.51113967
       1.41660717      -6.72514577       0.04515774       0.03178098       0.48450375       0.53204970
       1.41660717      -6.01011632       0.04433942       0.03132978       0.45919671       0.53204390
       1.41660717      -5.29750868       0.04440727       0.03137698       0.46769950       0.56155588
       1.41660717      -4.58700873       0.04433199       0.03133560       0.46901788       0.58285485
       1.41660717      -3.87831381       0.04419081       0.03037955       0.47149376       0.54145324
       1.41660717      -3.17113082       0.04452131       0.02935669       0.48892119       0.48517035
       1.41660717      -2.46517454       0.04522495       0.02941344       0.50485901       0.48410448
       1.41660717      -1.76016602       0.04587458       0.02988043       0.51818588       0.50596457
       1.41660717      -1.05583110       0.04579175       0.02955547       0.53023953       0.49029860
       1.41660717      -0.35189902       0.04477340       0.02880530       0.51853038       0.45360899
       1.41660717       0.35189902       0.04447861       0.02869131       0.50481686       0.44313353
       1.41660717       1.05583110       0.04601484       0.02926933       0.53152366       0.45919168
       1.41660717       1.76016602       0.04724857       0.02978906       0.55784490       0.47086110
       1.41660717       2.46517454       0.04621397       0.02986512       0.53564357       0.47042245
       1.41660717       3.17113082       0.04488300       0.02962676       0.50892427       0.46043178
       1.41660717       3.87831381       0.04554294       0.02966821       0.53078537       0.45317579
       1.41660717       4.58700873       0.04662877       0.03054538       0.54619172       0.47017767
       1.41660717       5.29750868       0.04631284       0.03176329       0.52218081       0.50136530
       1.41660717       6.01011632       0.04581250       0.03223758       0.51418533       0.50485584
