A	min	max
84.0	0.0	1.3050972511750581e-07
85.0	0.0	1.3152192657527938e-06
86.0	0.0	5.4297796114471164e-06
87.0	1.458407303673466e-09	2.4340882136958475e-05
88.0	8.693684214649748e-09	8.724994454086671e-05
89.0	2.489380766842856e-07	0.0002680421666251185
90.0	1.1161350407165001e-06	0.000777646026469046
91.0	7.996896490264822e-06	0.0020044074225022373
92.0	3.116879774075504e-05	0.004804578924707659
93.0	0.00011319340433344209	0.010624943138488253
94.0	0.0003713676280662383	0.021825127541374223
95.0	0.0010506681103552979	0.04162748092826131
96.0	0.0027893027687803077	0.07387979648246647
97.0	0.006725645637732471	0.12203008379945775
98.0	0.01505658768266231	0.1879467876416724
99.0	0.031237761635204076	0.27046391557904215
100.0	0.06026116985181172	0.3649336466254935
101.0	0.10806152037399647	0.46391301766833043
102.0	0.18045320212128735	0.559470647241515
103.0	0.28085132216206626	0.6455302861061414
104.0	0.40828148716802193	0.7196014831469818
105.0	0.555975741216878	0.7824454440750686
106.0	0.7123968519455733	0.836741368894672
107.0	0.8641195169250406	0.885186266868788
108.0	1.000248758601675	0.9304156162414288
109.0	1.1152299591826236	0.975169627846643
110.0	1.2094713124015146	1.023502758893637
111.0	1.2868933885943734	1.0809550794073106
112.0	1.3526985564406142	1.1548797429258775
113.0	1.411494739077867	1.2533161124197476
114.0	1.4684753482263389	1.3836179872629821
115.0	1.5302748068391907	1.5488151981912255
116.0	1.6059893964660465	1.7444908277693516
117.0	1.7059716095742443	1.9571791490780797
118.0	1.840620369585032	2.168231310513281
119.0	2.0167888378917675	2.3595723955074135
120.0	2.234590683139854	2.5199147563113944
121.0	2.4836164324789665	2.6457524127621754
122.0	2.7432886123422615	2.7391143288701483
123.0	2.9869496625033958	2.803385089140259
124.0	3.1912443144701577	2.842461681402449
125.0	3.3432603762710214	2.860941583929005
126.0	3.44351479350974	2.865259632582043
127.0	3.501719881140352	2.8623299891963194
128.0	3.5304378853009006	2.8582563272910537
129.0	3.5388687928216167	2.8564899116896725
130.0	3.5304378853009006	2.8582563272910537
131.0	3.501719881140352	2.8623299891963194
132.0	3.44351479350974	2.865259632582043
133.0	3.3432603762710214	2.860941583929005
134.0	3.1912443144701577	2.842461681402449
135.0	2.9869496625033958	2.803385089140259
136.0	2.7432886123422615	2.7391143288701483
137.0	2.4836164324789665	2.6457524127621754
138.0	2.234590683139854	2.5199147563113944
139.0	2.0167888378917675	2.3595723955074135
140.0	1.840620369585032	2.168231310513281
141.0	1.7059716095742443	1.9571791490780797
142.0	1.6059893964660465	1.7444908277693516
143.0	1.5302748068391907	1.5488151981912255
144.0	1.4684753482263389	1.3836179872629821
145.0	1.411494739077867	1.2533161124197476
146.0	1.3526985564406142	1.1548797429258775
147.0	1.2868933885943734	1.0809550794073106
148.0	1.2094713124015146	1.023502758893637
149.0	1.1152299591826236	0.975169627846643
150.0	1.000248758601675	0.9304156162414288
151.0	0.8641195169250406	0.885186266868788
152.0	0.7123968519455733	0.836741368894672
153.0	0.555975741216878	0.7824454440750686
154.0	0.40828148716802193	0.7196014831469818
155.0	0.28085132216206626	0.6455302861061414
156.0	0.18045320212128735	0.559470647241515
157.0	0.10806152037399647	0.46391301766833043
158.0	0.06026116985181172	0.3649336466254935
159.0	0.031237761635204076	0.27046391557904215
160.0	0.01505658768266231	0.1879467876416724
161.0	0.006725645637732471	0.12203008379945775
162.0	0.0027893027687803077	0.07387979648246647
163.0	0.0010506681103552979	0.04162748092826131
164.0	0.0003713676280662383	0.021825127541374223
165.0	0.00011319340433344209	0.010624943138488253
166.0	3.116879774075504e-05	0.004804578924707659
167.0	7.996896490264822e-06	0.0020044074225022373
168.0	1.1161350407165001e-06	0.000777646026469046
169.0	2.489380766842856e-07	0.0002680421666251185
170.0	8.693684214649748e-09	8.724994454086671e-05
171.0	1.458407303673466e-09	2.4340882136958475e-05
172.0	0.0	5.4297796114471164e-06
173.0	0.0	1.3152192657527938e-06
174.0	0.0	1.3050972511750581e-07
