Z	min	max
15.0	4.749959567816342e-09	1.7605171573733236e-05
16.0	1.951552248925504e-06	0.00010358668950344484
17.0	2.855706247519867e-05	0.0005798606585162102
18.0	0.00017444385026404405	0.002803896905318011
19.0	0.0009952940948257617	0.007784239711716411
20.0	0.0045697336867336884	0.032925139965884524
21.0	0.013290244861954886	0.04449725589629007
22.0	0.05286139077020863	0.1683688261152034
23.0	0.07520440977816688	0.12749284567524968
24.0	0.27016234475962325	0.4216796011352102
25.0	0.2130517946470181	0.23040397183028632
26.0	0.6859463330369554	0.674459855007324
27.0	0.3863088847195625	0.33443296486132396
28.0	1.1297158276419945	0.9336860130209205
29.0	0.5748763635488702	0.4653339554395903
30.0	1.617349033558714	1.2984745668661828
31.0	0.8207433409214877	0.6580409749241489
32.0	2.2950162325155974	1.8391100504139537
33.0	1.1719654082835738	0.9391719130891188
34.0	3.256702186687316	2.6100075803747673
35.0	1.6587107540222308	1.3308632612223525
36.0	4.546348941017511	3.653801244022076
37.0	2.267940908741732	1.8419300090225215
38.0	6.015145715704446	4.953083325553277
39.0	2.7960846903724743	2.4072979929779175
40.0	6.786644329781277	6.168932573382386
41.0	2.695624020382627	2.718370492527138
42.0	5.364887736592163	6.173398227505549
43.0	1.710876540359921	2.285325832335133
44.0	2.346044543706522	4.14016171029315
45.0	0.6143900624460469	1.2222416179036648
46.0	0.4713908979143415	1.5716551419620677
47.0	0.10724622666899322	0.3704279801781383
48.0	0.04007137392712014	0.28901689761555566
49.0	0.008182533471939661	0.06128922456692668
50.0	0.002893888326198819	0.04565953036013644
51.0	0.008182533471939661	0.06128922456692668
52.0	0.04007137392712014	0.28901689761555566
53.0	0.10724622666899322	0.3704279801781383
54.0	0.4713908979143415	1.5716551419620677
55.0	0.6143900624460469	1.2222416179036648
56.0	2.346044543706522	4.14016171029315
57.0	1.710876540359921	2.285325832335133
58.0	5.364887736592163	6.173398227505549
59.0	2.695624020382627	2.718370492527138
60.0	6.786644329781277	6.168932573382386
61.0	2.7960846903724743	2.4072979929779175
62.0	6.015145715704446	4.953083325553277
63.0	2.267940908741732	1.8419300090225215
64.0	4.546348941017511	3.653801244022076
65.0	1.6587107540222308	1.3308632612223525
66.0	3.256702186687316	2.6100075803747673
67.0	1.1719654082835738	0.9391719130891188
68.0	2.2950162325155974	1.8391100504139537
69.0	0.8207433409214877	0.6580409749241489
70.0	1.617349033558714	1.2984745668661828
71.0	0.5748763635488702	0.4653339554395903
72.0	1.1297158276419945	0.9336860130209205
73.0	0.3863088847195625	0.33443296486132396
74.0	0.6859463330369554	0.674459855007324
75.0	0.2130517946470181	0.23040397183028632
76.0	0.27016234475962325	0.4216796011352102
77.0	0.07520440977816688	0.12749284567524968
78.0	0.05286139077020863	0.1683688261152034
79.0	0.013290244861954886	0.04449725589629007
80.0	0.0045697336867336884	0.032925139965884524
81.0	0.0009952940948257617	0.007784239711716411
82.0	0.00017444385026404405	0.002803896905318011
83.0	2.855706247519867e-05	0.0005798606585162102
84.0	1.951552248925504e-06	0.00010358668950344484
85.0	4.749959567816342e-09	1.7605171573733236e-05
