Q20	Q30	EHFB	M22	M23	M33
132.0	0.0	0.0001	0.0503	-0.0	0.0306
132.1067850074	0.0002581309880564145	0.00013147106576869014	0.04999334844231521	2.697297664821894e-07	0.03062691528334642
132.21357001480004	0.000516261976112829	0.00024078483678474508	0.04968676193045074	5.262539377637339e-07	0.030653817204346397
132.32035502220003	0.0007743929641692435	0.0004132659964199276	0.04938024046510026	7.697815939144834e-07	0.030680705762306526
132.42714002960005	0.001032523952225658	0.0006389887116597306	0.049073784046929456	1.0005217182111668e-06	0.030707580956560905
132.53392530112438	0.001026349601517054	0.0006649481554658125	0.04876689488810666	9.691003184692076e-07	0.030734245933738844
132.64071061115487	0.0009816426292801486	0.0007046162265537977	0.048459926745292474	9.028150995017938e-07	0.030760883530559075
132.74749592118542	0.000936935657043243	0.0007945976133299939	0.048152947335112654	8.389709936584315e-07	0.030787523443405008
132.85428123121594	0.0008922286848063376	0.0009351018527415756	0.04784595665759562	7.775324442230187e-07	0.030814165672248418
132.96106643320013	0.00074534802144199	0.0010311355187296453	0.047538711380961135	6.318421522519603e-07	0.030840744654838256
133.06785159895702	0.0005642091142890741	0.0011468455267996803	0.04723134318037066	4.6504337608643643e-07	0.030867310152614562
133.1746367647139	0.00038307020713615854	0.0013143393864137108	0.04692392932665651	3.0684993915708026e-07	0.030893885035486617
133.28142193047077	0.000201931299983243	0.0015336826328161816	0.046616469820128195	1.5711870310652522e-07	0.030920469303144973
133.38820719096657	0.00012688444221706482	0.0019019766611730177	0.04630927085505863	9.584950201795814e-08	0.030947120031120486
133.4949925099262	0.00011730748540814115	0.0023808278358036904	0.04600225017996733	8.598740356895586e-08	0.030973808172831692
133.60177782888582	0.00010773052859921746	0.0029099359824881032	0.045695227091319894	7.658297803096617e-08	0.03100049681057705
133.70856314784547	9.815357179029379e-05	0.0034892116556136266	0.04538820158911719	6.762858737776931e-08	0.031027185944355606
133.81534846701842	9.316026865013878e-05	0.004122693717698637	0.04508118922377512	6.217581302360084e-08	0.031053877564326347
133.9221337864069	9.279696240251383e-05	0.004810296526055392	0.04477419189109312	5.995357870417748e-08	0.031080571333299507
134.02891910579538	9.243365615488889e-05	0.005547793896926734	0.04446719446685184	5.777143174742323e-08	0.031107265121089907
134.13570442518386	9.207034990726392e-05	0.006335136464356692	0.04416019695105128	5.562908226811556e-08	0.031133958927697502
134.24248974456822	9.126065786627096e-05	0.007171886654597268	0.043853197604250965	5.326569369903813e-08	0.03116065260555169
134.34927506394547	8.967165701701812e-05	0.008057716879773472	0.0435461949184472	5.0520548846456145e-08	0.031187346087893142
134.45606038332275	8.808265616776528e-05	0.008993270338724872	0.04323919183218927	4.786325123115758e-08	0.031214039652534997
134.56284570269997	8.649365531851244e-05	0.009978504465807008	0.042932188345477455	4.529253303241646e-08	0.031240733299477203
134.6696310220798	8.51558777424833e-05	0.011013591921785467	0.04262518556388225	4.293379183676162e-08	0.031267427085748076
134.77641634146738	8.458780068039683e-05	0.012098927118909754	0.04231818592939349	4.102273983218764e-08	0.03129412109609868
134.88320166085495	8.401972361831036e-05	0.013233806841879215	0.04201118615174002	3.915585702390762e-08	0.03132081513587219
134.98998698024252	8.345164655622385e-05	0.014418189913074612	0.04170418623092185	3.7332690137069493e-08	0.03134750920506861
135.09677229962819	8.272407048774862e-05	0.015651902632638215	0.04139718538463196	3.5484366330960846e-08	0.03137420328400321
135.2035576189982	8.070645803375076e-05	0.016933972788022705	0.04109017786508643	3.3154663019446755e-08	0.031400897274818394
135.3103429383682	7.868884557975291e-05	0.018265440498326624	0.04078316983707007	3.091909925265113e-08	0.03142759137013304
135.41712825773823	7.667123312575507e-05	0.019646265347599074	0.040476161300582875	2.8776065223072006e-08	0.0314542855699471
135.52391357710823	7.465362067175721e-05	0.021076406988107393	0.04016915225562503	2.6723951117293393e-08	0.031480979874260545
135.6306988964954	7.401832079545977e-05	0.022556934691073754	0.03986215035304156	2.5232391698311712e-08	0.03150767427468559
135.73748421588263	7.339045005504044e-05	0.024086687871418176	0.039555148332407426	2.3784458866646667e-08	0.03153436870777767
135.84426953526986	7.27625793146211e-05	0.025665620059994385	0.039248146153539755	2.2376992081137097e-08	0.03156106317338945
135.95105485465712	7.213470857420177e-05	0.02729369082437342	0.038941143816438456	2.1009490350310318e-08	0.03158775767152093
136.05784017404414	7.261513298865906e-05	0.028971707512955698	0.038706406985720296	-0.00010274762151591188	0.031601477633504516
136.16462549343115	7.32820763801437e-05	0.030698602747949034	0.03852529792163893	-0.00028523702603584284	0.031611738380923245
136.27141081281815	7.394901977162831e-05	0.03247364394534908	0.03833505212107204	-0.00045801976895347847	0.03163113594227903
136.37819613220515	7.461596316311295e-05	0.03429623593997289	0.03813640012185023	-0.0006207616216185426	0.031658939779741206
136.48498145157419	7.302673469027277e-05	0.036164085362811856	0.03793005810938518	-0.0007731634873862269	0.03169441985794509
136.591766770937	7.06580345288457e-05	0.03807774304745627	0.03771676565907343	-0.0009149617428356543	0.031736845359240824
136.69855209029978	6.828933436741862e-05	0.04003720611163432	0.03749725828216944	-0.0010459274400471264	0.03178548551205395
136.8053374096626	6.592063420599155e-05	0.04204187993124181	0.03727226659786126	-0.0011658651107052458	0.031839609697196375
136.9121227290322	6.605592987414359e-05	0.04409298857380822	0.03704253768149117	-0.001274615060863295	0.03189848679218912
137.01890804840627	6.784698222182448e-05	0.046189276472205484	0.03680879676785581	-0.0013720481511762805	0.031961386545063177
137.12569336778031	6.963803456950538e-05	0.0483289346820467	0.036571763534195396	-0.0014580660858881853	0.03202757882595551
