 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.88648664     -29.30711799       0.00000000       0.00000000       0.00000000       0.00000000
       0.88648664     -28.16782251       0.00000000       0.00000000       0.00000001       0.00000001
       0.88648664     -27.08557568       0.00000001       0.00000001       0.00000005       0.00000006
       0.88648664     -26.04876008       0.00000003       0.00000003       0.00000009       0.00000012
       0.88648664     -25.04921369       0.00000005       0.00000004       0.00000003       0.00000003
       0.88648664     -24.08092502       0.00000002       0.00000002       0.00000000       0.00000000
       0.88648664     -23.13930354       0.00000002       0.00000002       0.00000000       0.00000000
       0.88648664     -22.22074188       0.00000002       0.00000001       0.00000000       0.00000000
       0.88648664     -21.32233832       0.00000002       0.00000001       0.00000000       0.00000000
       0.88648664     -20.44171297       0.00000004       0.00000001       0.00000001       0.00000000
       0.88648664     -19.57688141       0.00000009       0.00000001       0.00000005       0.00000000
       0.88648664     -18.72616536       0.00000047       0.00000003       0.00000397       0.00000000
       0.88648664     -17.88812767       0.00000188       0.00000013       0.00012260       0.00000019
       0.88648664     -17.06152408       0.00000694       0.00000045       0.00062341       0.00000292
       0.88648664     -16.24526665       0.00003282       0.00000421       0.00294253       0.00015807
       0.88648664     -15.43839566       0.00015057       0.00003050       0.01600879       0.00277582
       0.88648664     -14.64005749       0.00069098       0.00020669       0.07162068       0.02378838
       0.88648664     -13.84948726       0.00325794       0.00144097       0.26591797       0.17543258
       0.88648664     -13.06599469       0.01188504       0.00671117       0.54989360       0.51748081
       0.88648664     -12.28895281       0.02733005       0.01772752       0.66924130       0.69228013
       0.88648664     -11.51778854       0.03992233       0.02846091       0.61915497       0.67984686
       0.88648664     -10.75197498       0.04417288       0.03231630       0.50269498       0.55553982
       0.88648664      -9.99102491       0.04652655       0.03146979       0.49005578       0.43934208
       0.88648664      -9.23448532       0.04834668       0.03200908       0.52731076       0.48504800
       0.88648664      -8.48193277       0.04712448       0.03391351       0.48022406       0.57510965
       0.88648664      -7.73296934       0.04742355       0.03279217       0.47399718       0.50352709
       0.88648664      -6.98721922       0.05009241       0.03039082       0.54780057       0.40949202
       0.88648664      -6.24432565       0.04883756       0.03115328       0.52492894       0.47376873
       0.88648664      -5.50394827       0.04546225       0.03308638       0.45550991       0.59500488
       0.88648664      -4.76576072       0.04567475       0.03188118       0.48726306       0.57157444
       0.88648664      -4.02944854       0.04706383       0.02922699       0.53659494       0.45517709
       0.88648664      -3.29470721       0.04580164       0.02866996       0.51062414       0.43339255
       0.88648664      -2.56124038       0.04375028       0.02918585       0.49405194       0.50039478
       0.88648664      -1.82875825       0.04210012       0.02825497       0.53578089       0.56538289
       0.88648664      -1.09697598       0.03912232       0.02600216       0.55573382       0.59356153
       0.88648664      -0.36561223       0.03596216       0.02414445       0.52691892       0.58821742
       0.88648664       0.36561223       0.03596216       0.02414445       0.52691892       0.58821742
       0.88648664       1.09697598       0.03912232       0.02600216       0.55573382       0.59356153
       0.88648664       1.82875825       0.04210012       0.02825497       0.53578089       0.56538289
       0.88648664       2.56124038       0.04375028       0.02918585       0.49405194       0.50039479
       0.88648664       3.29470721       0.04580164       0.02866996       0.51062414       0.43339255
       0.88648664       4.02944854       0.04706383       0.02922699       0.53659494       0.45517708
       0.88648664       4.76576072       0.04567475       0.03188118       0.48726306       0.57157444
       0.88648664       5.50394827       0.04546225       0.03308638       0.45550991       0.59500488
       0.88648664       6.24432565       0.04883756       0.03115328       0.52492894       0.47376874
       0.88648664       6.98721922       0.05009241       0.03039082       0.54780057       0.40949202
       0.88648664       7.73296934       0.04742355       0.03279217       0.47399718       0.50352708
       0.88648664       8.48193277       0.04712448       0.03391351       0.48022406       0.57510964
       0.88648664       9.23448532       0.04834668       0.03200908       0.52731076       0.48504800
       0.88648664       9.99102491       0.04652655       0.03146979       0.49005578       0.43934208
       0.88648664      10.75197498       0.04417288       0.03231630       0.50269498       0.55553982
       0.88648664      11.51778854       0.03992233       0.02846091       0.61915497       0.67984686
       0.88648664      12.28895281       0.02733005       0.01772751       0.66924129       0.69228012
       0.88648664      13.06599469       0.01188504       0.00671117       0.54989358       0.51748079
       0.88648664      13.84948726       0.00325794       0.00144097       0.26591796       0.17543256
       0.88648664      14.64005749       0.00069098       0.00020669       0.07162068       0.02378838
       0.88648664      15.43839566       0.00015057       0.00003050       0.01600879       0.00277582
       0.88648664      16.24526665       0.00003282       0.00000421       0.00294253       0.00015807
       0.88648664      17.06152408       0.00000694       0.00000045       0.00062341       0.00000292
       0.88648664      17.88812767       0.00000188       0.00000013       0.00012260       0.00000019
       0.88648664      18.72616536       0.00000047       0.00000003       0.00000397       0.00000000
       0.88648664      19.57688141       0.00000009       0.00000001       0.00000005       0.00000000
       0.88648664      20.44171297       0.00000004       0.00000001       0.00000001       0.00000000
       0.88648664      21.32233832       0.00000002       0.00000001       0.00000000       0.00000000
       0.88648664      22.22074188       0.00000002       0.00000001       0.00000000       0.00000000
       0.88648664      23.13930354       0.00000002       0.00000002       0.00000000       0.00000000
       0.88648664      24.08092502       0.00000002       0.00000002       0.00000000       0.00000000
       0.88648664      25.04921369       0.00000005       0.00000004       0.00000003       0.00000003
       0.88648664      26.04876008       0.00000003       0.00000003       0.00000009       0.00000012
       0.88648664      27.08557568       0.00000001       0.00000001       0.00000005       0.00000006
       0.88648664      28.16782251       0.00000000       0.00000000       0.00000001       0.00000001
       0.88648664      29.30711799       0.00000000       0.00000000       0.00000000       0.00000000
       0.88648664      30.52109927       0.00000000       0.00000000       0.00000000       0.00000000
       0.88648664      31.83918377       0.00000000       0.00000000       0.00000000       0.00000000
       0.88648664      33.31849689       0.00000000       0.00000000       0.00000000       0.00000000
       0.88648664      35.10871145       0.00000000       0.00000000       0.00000000       0.00000000
       1.39012219     -35.10871145       0.00000000       0.00000000       0.00000000       0.00000000
       1.39012219     -33.31849689       0.00000000       0.00000000       0.00000000       0.00000000
       1.39012219     -31.83918377       0.00000000       0.00000000       0.00000000       0.00000000
       1.39012219     -30.52109927       0.00000000       0.00000000       0.00000000       0.00000000
       1.39012219     -29.30711799       0.00000000       0.00000000       0.00000000       0.00000000
       1.39012219     -28.16782251       0.00000000       0.00000000       0.00000000       0.00000000
       1.39012219     -27.08557568       0.00000001       0.00000001       0.00000003       0.00000003
       1.39012219     -26.04876008       0.00000003       0.00000002       0.00000007       0.00000008
       1.39012219     -25.04921369       0.00000004       0.00000003       0.00000003       0.00000003
       1.39012219     -24.08092502       0.00000002       0.00000001       0.00000000       0.00000000
