A	min	max
75.0	0.0	1.7123798683847425e-07
76.0	0.0	2.6518082268682966e-06
77.0	0.0	1.0810120476309342e-05
78.0	1.5271445990433633e-09	5.880032349904959e-05
79.0	1.0506172620262577e-08	0.00019480492107933555
80.0	4.676443798530952e-07	0.0006151094036947222
81.0	2.1703849799414393e-06	0.0016854335963116221
82.0	2.0550930776000634e-05	0.00423134002136348
83.0	7.605457255451218e-05	0.009702490122617508
84.0	0.00030331136555632844	0.02043320697749716
85.0	0.0009208889835988959	0.03948003372157631
86.0	0.002583292147096099	0.07022065611143183
87.0	0.006531426972151259	0.11519643032500608
88.0	0.01514989677881743	0.17497986403332677
89.0	0.03218998112140747	0.24725130974311643
90.0	0.06289290868903818	0.3271664106385833
91.0	0.11300729550593264	0.40864589895366527
92.0	0.18732325763486163	0.48654269967839375
93.0	0.2873074736429358	0.557927805770089
94.0	0.4096389615962739	0.6223771244778106
95.0	0.5461140268552245	0.6809266715811381
96.0	0.6861389638486319	0.7352367687352055
97.0	0.8199146970316843	0.7868872640938704
98.0	0.9414873789615952	0.8375263064026558
99.0	1.049219041352744	0.8885489696288367
100.0	1.1446828125300708	0.9408649501562788
101.0	1.2304813211659795	0.994443810071791
102.0	1.3094980251735249	1.0489534524455564
103.0	1.3844058142790316	1.1041696127890146
104.0	1.4577807830180232	1.1604318255388795
105.0	1.531234443715459	1.2179052046053134
106.0	1.6052243442609022	1.2763642340033707
107.0	1.6790457610093803	1.3349149231687463
108.0	1.752280725066894	1.393092410576326
109.0	1.8250652928961382	1.4509485394771098
110.0	1.8979358605838943	1.5088958871197309
111.0	1.9703241549065684	1.566547363377202
112.0	2.0409079569642685	1.6230840922865832
113.0	2.1079650062529725	1.6775782737652598
114.0	2.16988189360682	1.7300475012131933
115.0	2.223712895883238	1.7807375024802834
116.0	2.262911729761954	1.8293159132162218
117.0	2.275582338246458	1.8738987112882048
118.0	2.245778783185933	1.9114573883773325
119.0	2.157150769416332	1.937694507949275
120.0	1.9985003210826482	1.9465987027470992
121.0	1.7689623350271098	1.9289454269609283
122.0	1.4820207803914252	1.8737975959975492
123.0	1.164607963065975	1.7726938962537404
124.0	0.8523089511014098	1.6274280793680922
125.0	0.5798094026831849	1.4553129885420648
126.0	0.3731840345282193	1.2890267192129854
127.0	0.24614132896878949	1.167528904810856
128.0	0.20358422634768153	1.1229450995471038
129.0	0.24614132896878949	1.167528904810856
130.0	0.3731840345282193	1.2890267192129854
131.0	0.5798094026831849	1.4553129885420648
132.0	0.8523089511014098	1.6274280793680922
133.0	1.164607963065975	1.7726938962537404
134.0	1.4820207803914252	1.8737975959975492
135.0	1.7689623350271098	1.9289454269609283
136.0	1.9985003210826482	1.9465987027470992
137.0	2.157150769416332	1.937694507949275
138.0	2.245778783185933	1.9114573883773325
139.0	2.275582338246458	1.8738987112882048
140.0	2.262911729761954	1.8293159132162218
141.0	2.223712895883238	1.7807375024802834
142.0	2.16988189360682	1.7300475012131933
143.0	2.1079650062529725	1.6775782737652598
144.0	2.0409079569642685	1.6230840922865832
145.0	1.9703241549065684	1.566547363377202
146.0	1.8979358605838943	1.5088958871197309
147.0	1.8250652928961382	1.4509485394771098
148.0	1.752280725066894	1.393092410576326
149.0	1.6790457610093803	1.3349149231687463
150.0	1.6052243442609022	1.2763642340033707
151.0	1.531234443715459	1.2179052046053134
152.0	1.4577807830180232	1.1604318255388795
153.0	1.3844058142790316	1.1041696127890146
154.0	1.3094980251735249	1.0489534524455564
155.0	1.2304813211659795	0.994443810071791
156.0	1.1446828125300708	0.9408649501562788
157.0	1.049219041352744	0.8885489696288367
158.0	0.9414873789615952	0.8375263064026558
159.0	0.8199146970316843	0.7868872640938704
160.0	0.6861389638486319	0.7352367687352055
161.0	0.5461140268552245	0.6809266715811381
162.0	0.4096389615962739	0.6223771244778106
163.0	0.2873074736429358	0.557927805770089
164.0	0.18732325763486163	0.48654269967839375
165.0	0.11300729550593264	0.40864589895366527
166.0	0.06289290868903818	0.3271664106385833
167.0	0.03218998112140747	0.24725130974311643
168.0	0.01514989677881743	0.17497986403332677
169.0	0.006531426972151259	0.11519643032500608
170.0	0.002583292147096099	0.07022065611143183
171.0	0.0009208889835988959	0.03948003372157631
172.0	0.00030331136555632844	0.02043320697749716
173.0	7.605457255451218e-05	0.009702490122617508
174.0	2.0550930776000634e-05	0.00423134002136348
175.0	2.1703849799414393e-06	0.0016854335963116221
176.0	4.676443798530952e-07	0.0006151094036947222
177.0	1.0506172620262577e-08	0.00019480492107933555
178.0	1.5271445990433633e-09	5.880032349904959e-05
179.0	0.0	1.0810120476309342e-05
180.0	0.0	2.6518082268682966e-06
181.0	0.0	1.7123798683847425e-07
