Z	min	max
19.0	1.2053580757556928e-08	4.3772505600725126e-05
20.0	4.948111955868054e-06	0.00024827867504905083
21.0	7.078069250442713e-05	0.00142645142897186
22.0	0.0004303307815211742	0.006446323676590635
23.0	0.0024717767765585963	0.01907489478306447
24.0	0.011204449338950595	0.07442754857101763
25.0	0.03312402189474602	0.10836587772851777
26.0	0.1297175063442814	0.3830754857421499
27.0	0.18907965401130836	0.31019591925516055
28.0	0.67061261542153	0.9915601103131303
29.0	0.5458706966797513	0.5745285694370972
30.0	1.7489580145123158	1.683097417490705
31.0	1.0209749690691536	0.8783045918250298
32.0	2.991493008915857	2.47447545232927
33.0	1.5661851184342084	1.2758416033350588
34.0	4.391048510226605	3.5472934160568217
35.0	2.2441252816939246	1.8191154316404095
36.0	6.137027828803662	4.975627557930702
37.0	2.993002875500957	2.481216837989607
38.0	7.651474980980918	6.488543733422526
39.0	3.2785515206112845	2.9724985183667503
40.0	6.784258702694661	6.866370206341453
41.0	2.4319664618451022	2.6846726617957826
42.0	3.226088343580222	4.886701812489856
43.0	0.9968619754306053	1.549709426604622
44.0	0.6873922968054882	1.9507488515724671
45.0	0.18811361697107482	0.5048246060998125
46.0	0.06245795946654104	0.3714660635580846
47.0	0.014468965167281161	0.08234912314554518
48.0	0.0025096275472988624	0.03061186446976711
49.0	0.00042176101091090856	0.006065870742072772
50.0	6.277725048112881e-05	0.0021434413546116125
51.0	0.00042176101091090856	0.006065870742072772
52.0	0.0025096275472988624	0.03061186446976711
53.0	0.014468965167281161	0.08234912314554518
54.0	0.06245795946654104	0.3714660635580846
55.0	0.18811361697107482	0.5048246060998125
56.0	0.6873922968054882	1.9507488515724671
57.0	0.9968619754306053	1.549709426604622
58.0	3.226088343580222	4.886701812489856
59.0	2.4319664618451022	2.6846726617957826
60.0	6.784258702694661	6.866370206341453
61.0	3.2785515206112845	2.9724985183667503
62.0	7.651474980980918	6.488543733422526
63.0	2.993002875500957	2.481216837989607
64.0	6.137027828803662	4.975627557930702
65.0	2.2441252816939246	1.8191154316404095
66.0	4.391048510226605	3.5472934160568217
67.0	1.5661851184342084	1.2758416033350588
68.0	2.991493008915857	2.47447545232927
69.0	1.0209749690691536	0.8783045918250298
70.0	1.7489580145123158	1.683097417490705
71.0	0.5458706966797513	0.5745285694370972
72.0	0.67061261542153	0.9915601103131303
73.0	0.18907965401130836	0.31019591925516055
74.0	0.1297175063442814	0.3830754857421499
75.0	0.03312402189474602	0.10836587772851777
76.0	0.011204449338950595	0.07442754857101763
77.0	0.0024717767765585963	0.01907489478306447
78.0	0.0004303307815211742	0.006446323676590635
79.0	7.078069250442713e-05	0.00142645142897186
80.0	4.948111955868054e-06	0.00024827867504905083
81.0	1.2053580757556928e-08	4.3772505600725126e-05
