Z	min	max
15.0	0.0	0.0
16.0	0.0	7.447044989013179e-14
17.0	0.0	3.184677310939901e-11
18.0	7.65417536147408e-12	1.496220287119664e-09
19.0	3.148442182858474e-09	2.2707303071784021e-07
20.0	5.366962527839897e-08	2.1174474071650956e-06
21.0	2.7868619815387362e-06	2.1711272719208354e-05
22.0	2.2534328279198717e-05	0.0001538009798176302
23.0	0.00013988481867619807	0.0006290229259900979
24.0	0.0009462555697730428	0.0038653963861159813
25.0	0.002877264935248038	0.008479908100977023
26.0	0.016741664857662906	0.0456278739897104
27.0	0.029820530852981763	0.057420707735061145
28.0	0.14773387791622158	0.2604532620471547
29.0	0.162205679981071	0.21629294398273397
30.0	0.6789584351818714	0.805589059929575
31.0	0.5044049407095106	0.5090268435134979
32.0	1.7631915282586392	1.6096162691855547
33.0	1.0322872999621375	0.875184910506705
34.0	3.1135456573455422	2.514517023153104
35.0	1.6387035816175284	1.294506858301686
36.0	4.579204106023119	3.571313629928511
37.0	2.315572552498103	1.805338182407673
38.0	6.234472012807135	4.868967808959919
39.0	3.005529595567506	2.400312129020087
40.0	7.549024907048674	6.241886556915139
41.0	3.2391658329594746	2.8777341598547657
42.0	6.568871693654504	6.8191417530891005
43.0	2.400755455808972	2.727866541191485
44.0	3.100396723403238	5.2550368695919865
45.0	0.9889014400645457	1.7272539655787753
46.0	0.6612226768330108	2.266993668623278
47.0	0.1873073383434725	0.6237742666587592
48.0	0.06065998536121047	0.4563459303232695
49.0	0.014854480991746544	0.11753421833921061
50.0	0.004958437224901786	0.07822476291810651
51.0	0.014854480991746544	0.11753421833921061
52.0	0.06065998536121047	0.4563459303232695
53.0	0.1873073383434725	0.6237742666587592
54.0	0.6612226768330108	2.266993668623278
55.0	0.9889014400645457	1.7272539655787753
56.0	3.100396723403238	5.2550368695919865
57.0	2.400755455808972	2.727866541191485
58.0	6.568871693654504	6.8191417530891005
59.0	3.2391658329594746	2.8777341598547657
60.0	7.549024907048674	6.241886556915139
61.0	3.005529595567506	2.400312129020087
62.0	6.234472012807135	4.868967808959919
63.0	2.315572552498103	1.805338182407673
64.0	4.579204106023119	3.571313629928511
65.0	1.6387035816175284	1.294506858301686
66.0	3.1135456573455422	2.514517023153104
67.0	1.0322872999621375	0.875184910506705
68.0	1.7631915282586392	1.6096162691855547
69.0	0.5044049407095106	0.5090268435134979
70.0	0.6789584351818714	0.805589059929575
71.0	0.162205679981071	0.21629294398273397
72.0	0.14773387791622158	0.2604532620471547
73.0	0.029820530852981763	0.057420707735061145
74.0	0.016741664857662906	0.0456278739897104
75.0	0.002877264935248038	0.008479908100977023
76.0	0.0009462555697730428	0.0038653963861159813
77.0	0.00013988481867619807	0.0006290229259900979
78.0	2.2534328279198717e-05	0.0001538009798176302
79.0	2.7868619815387362e-06	2.1711272719208354e-05
80.0	5.366962527839897e-08	2.1174474071650956e-06
81.0	3.148442182858474e-09	2.2707303071784021e-07
82.0	7.65417536147408e-12	1.496220287119664e-09
83.0	0.0	3.184677310939901e-11
84.0	0.0	7.447044989013179e-14
85.0	0.0	0.0
