Q20	Q30	Q40	EHFB	M22	M23	M24	M33	M34	M44
166.94086256520586	0.0	23.423067850603385	0.5610836689477419	0.05658390107881692	7.084182821592304e-09	-0.08961981139334153	0.01934615246756275	-4.269870053453399e-08	0.20811688883901133
167.2806845715088	0.0	23.527988490897574	0.5737710701685044	0.056100995207158416	8.344326737581313e-09	-0.08975852744747122	0.018903717960212937	-3.873156718543659e-08	0.2090768704569353
167.6205065778117	0.0	23.63290913119177	0.5867060751968857	0.055647972131297144	9.649239805874894e-09	-0.08993187278174182	0.018444681899642414	-3.621214610129041e-08	0.21007562617231448
167.96431940833762	0.0	23.72357590923115	0.5987945113047574	0.05524365554689799	1.0947808195755101e-08	-0.09005455154972	0.01803773838429836	-3.5331682720217894e-08	0.21083072690588814
168.3092180099435	0.0	23.810364683492473	0.6107412060991005	0.05476721556886704	1.0118340402397139e-08	-0.08970106795951219	0.01767710923690209	-3.460711880519862e-08	0.21016345721467503
168.65411661154937	0.0	23.897153457753795	0.6226284461364658	0.05428531529121403	9.666028490854472e-09	-0.08929201465624396	0.017305774507632488	-3.173361245206073e-08	0.20931241530667516
168.99901521315527	0.0	23.983942232015117	0.6342810994104818	0.053808803012399015	9.871318095824664e-09	-0.08888150210329039	0.01691881832339853	-2.666592588879313e-08	0.2084335728213373
169.34545395244962	0.0	24.064301507997868	0.6453191247747135	0.05324886315040525	-2.7948263894965136e-07	-0.08748684007457361	0.01683771147681645	1.0964360862661996e-06	0.20464925197377645
169.69224234281342	0.0	24.143201121662013	0.6559603486016504	0.05267664529820727	-6.221410076536996e-07	-0.08588601774112377	0.016831447190921868	2.4247630225393393e-06	0.20025576387773492
170.03903073317724	0.0	24.222100735326165	0.6662130973930933	0.05211256748334109	-9.510014350692927e-07	-0.08430400641831456	0.01682882540072409	3.699863287595334e-06	0.19591374954717358
170.38581912354107	0.0	24.301000348990314	0.6760465780821148	0.05155662970580672	-1.2660639211963845e-06	-0.08274080610614615	0.016829846106223113	4.921736881434002e-06	0.19162320898209292
170.73088748730504	0.0	24.387053048442763	0.6855086445586852	0.05099131904706816	-1.597124504342654e-06	-0.08113979901773283	0.016830029942155232	6.20597872445876e-06	0.18723153758136105
171.07563507763297	0.0	24.47443975046644	0.6944901986933247	0.05043164029240382	-1.9186591986251602e-06	-0.07954879557176567	0.01683336005039954	7.453595705533432e-06	0.18286767286850175
171.4203826679609	0.0	24.56182645249012	0.7030306194505362	0.049880924128336925	-2.2250016654257623e-06	-0.07797850399482618	0.016840700729646482	8.642607443961362e-06	0.17856048336089103
171.7651302582888	0.0	24.649213154513802	0.7112076539907849	0.04933917055486748	-2.5161519047444786e-06	-0.07642892428691445	0.016852051979896053	9.773013939742624e-06	0.17430996905852883
172.10943523407167	0.0	24.738325132325542	0.7191069324244638	0.048789952674700265	-2.7690822766547497e-06	-0.07479333582276587	0.016893178681523513	1.0753170168002807e-05	0.169818153732023
172.45367382932372	0.0	24.827695856091083	0.7268206169992216	0.048222359448527874	-2.929119289794958e-06	-0.07298025806213701	0.016996863608267052	1.1366980050779263e-05	0.16482840045893496
172.79791242457577	0.0	24.917066579856623	0.7344129727552758	0.04766393799397892	-3.0512389223024412e-06	-0.07119558010588517	0.017106643821393475	1.1832016783436978e-05	0.15991882808242927
173.14215101982782	0.0	25.006437303622164	0.7419365549218228	0.04711468831105342	-3.1354411741772e-06	-0.06943930195401034	0.017222519320902775	1.2148280365975954e-05	0.15508943660250596
173.48656817078125	0.0	25.095117082835696	0.7494434766961714	0.04657600514223845	-3.179596973741409e-06	-0.06771598438311112	0.017344818714065485	1.2307528857103278e-05	0.1503524310584275
173.8310062228212	0.0	25.18371598257152	0.7569698290027607	0.04604658694175815	-3.185875837185977e-06	-0.06602138352723934	0.01747320529487388	1.2318175963507626e-05	0.14569642255502574
174.17544427486118	0.0	25.272314882307352	0.7645528112709123	0.04552626657194836	-3.154543002189957e-06	-0.06435495352231164	0.01760763802310904	1.2181249298597906e-05	0.14111994854616483
174.5198823269011	0.0	25.360913782043184	0.7722291855399079	0.045015044032809176	-3.085598468753395e-06	-0.06271669436832833	0.017748116898770934	1.1896748862374295e-05	0.1366230090318457
174.86452033913469	0.0	25.448731322419434	0.780042430053007	0.044514348524487386	-2.9772557969341956e-06	-0.061111305340617074	0.017894912983610862	1.1457791684731439e-05	0.1322181119961821
175.20917582764235	0.0	25.536480572951817	0.7880244600397021	0.04402279747622326	-2.8314689183401617e-06	-0.05953425548278305	0.018047726883156243	1.0871928949431853e-05	0.12789315829460954
175.55383131615005	0.0	25.624229823484207	0.7962158991957979	0.04354026270008761	-2.6484075156715254e-06	-0.057985123935082684	0.01820653272874931	1.0139815384744296e-05	0.12364702609151855
175.89848680465778	0.0	25.711979074016593	0.8046619987480023	0.04306674419608044	-2.4280715889282625e-06	-0.05646391069751602	0.018371330520390056	9.26145099066868e-06	0.11947971538690938
176.2430036640917	0.0	25.800270926705032	0.8134093049298065	0.042643550576247705	-9.803704288001571e-07	-0.05509556282774321	0.01877388900224026	3.975875070145404e-06	0.11588329121158181
176.5875121067697	0.0	25.888595723059375	0.8225009079809142	0.04223939364764851	1.1462903161721331e-06	-0.05380252475553192	0.019292351004103345	-3.7489042693217505e-06	0.11256098199836337
176.93202054944777	0.0	25.976920519413717	0.831959207057009	0.04183538886223949	3.4794066468958935e-06	-0.05253052047936693	0.019832113052595857	-1.2220279066675347e-05	0.10930215453125951
177.27652899212578	0.0	26.065245315768063	0.8417917795421804	0.0414315362200207	6.018978563370401e-06	-0.05127954999924851	0.020393175147717595	-2.1438249321912745e-05	0.10610680881027079
177.62066142212277	0.0	26.155023511874976	0.8519948424900328	0.041025347598240405	8.76831261483285e-06	-0.05004215516615488	0.0209756006162001	-3.141433831620375e-05	0.10295523536842667
177.96478002863492	0.0	26.2448551398221	0.8625472120864967	0.040619222025496976	1.1727450129225656e-05	-0.04882584864137372	0.02157966131894935	-4.214911357989356e-05	0.0998674111270052
178.30889863514705	0.0	26.334686767769217	0.8734082956916934	0.04021325101642671	1.48963277813922e-05	-0.04763091054440557	0.022205360935939458	-5.364236206981443e-05	0.09684407857820557
178.65301724165917	0.0	26.424518395716337	0.8845202551975389	0.0398074345710296	1.8274945571332742e-05	-0.04645734087525029	0.022852699467170487	-6.589408378596733e-05	0.09388523772202745
