destinationFile	isConverged	Q1	Q20	Q30	Q40	q5	q6	q7	q8	M_22	M_32	M_33	EHFB	sourceFile	expected_Z	expected_N	expected_q20	expected_q30	bet2	bet3	filter_maxDeltaE	filter_bluff	isCorrect
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_001/p154_100_000001.hel	False	0.010687	321.954287	9.992368	100.570174	20.630113	93.598664	28.58431	84.574714	0.00197	-0.000511	0.00623	-1888.839447	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_000/p154_100_000017.hel	100	154	322.0	10.0	2.9	0.14	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_001/p154_100_000002.hel	False	0.012534	322.02099	5.969171	100.505044	12.408431	92.768872	17.164743	82.175755	0.001933	-0.0003379	0.006266	-1887.707769	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_001/p154_100_000015.hel	100	154	322.0	6.0	2.9	0.084	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_001/p154_100_000003.hel	False	0.004496	322.00518	4.022134	100.20025	8.377031	91.897037	11.562713	80.467378	0.001917	-0.0002325	0.006251	-1887.378853	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_001/p154_100_000001.hel	100	154	322.0	4.0	2.9	0.056	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_001/p154_100_000004.hel	False	0.001716	322.006058	2.004038	100.697684	4.181352	92.910984	5.806987	81.867829	0.001884	-0.0001067	0.006164	-1887.125804	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_001/p154_100_000002.hel	100	154	322.0	2.0	2.9	0.028	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_001/p154_100_000005.hel	True	0.004083	319.99694	20.001683	101.466638	41.57405	99.729652	59.825262	99.63319	0.002674	-0.001222	0.006543	-1892.826719	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_001/p154_100_000005.hel	100	154	320.0	20.0	2.882	0.28	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_001/p154_100_000006.hel	True	0.000183	106.00185	22.000134	55.340553	106.185884	225.00053	467.533315	969.075149	0.007827	-0.007215	0.02106	-1852.948858	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_001/p154_100_000003.hel	100	154	106.0	22.0	0.955	0.308	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_001/p154_100_000007.hel	True	0.00359	105.993123	26.003442	58.665845	115.695419	243.541592	509.908598	1064.48667	0.01137	-0.004644	0.01698	-1847.258702	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_001/p154_100_000004.hel	100	154	106.0	26.0	0.955	0.365	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_001/p154_100_000008.hel	True	0.000409	106.001932	32.003161	54.856975	97.888602	190.17879	378.178084	760.685486	0.01007	-0.01325	0.02185	-1847.989215	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_001/p154_100_000006.hel	100	154	106.0	32.0	0.955	0.449	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_001/p154_100_000009.hel	True	0.00137	107.999383	1.999491	12.905494	2.865612	4.609154	2.299444	1.464465	0.01009	-0.001443	0.02552	-1879.283245	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_001/p154_100_000007.hel	100	154	108.0	2.0	0.973	0.028	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_001/p154_100_000010.hel	False	0.118848	320.004259	9.912786	97.979479	20.122787	88.810287	27.043063	77.470553	0.002043	-0.0005066	0.006291	-1889.035529	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_001/p154_100_000009.hel	100	154	320.0	10.0	2.882	0.14	False	True	False
