 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.89697737     -28.96171980       0.00000000       0.00000000       0.00000000       0.00000000
       0.89697737     -27.83585145       0.00000000       0.00000000       0.00000000       0.00000001
       0.89697737     -26.76635941       0.00000000       0.00000000       0.00000005       0.00000017
       0.89697737     -25.74176318       0.00000002       0.00000002       0.00000021       0.00000065
       0.89697737     -24.75399691       0.00000006       0.00000006       0.00000022       0.00000048
       0.89697737     -23.79711998       0.00000005       0.00000004       0.00000002       0.00000002
       0.89697737     -22.86659595       0.00000002       0.00000001       0.00000000       0.00000000
       0.89697737     -21.95885997       0.00000003       0.00000002       0.00000000       0.00000000
       0.89697737     -21.07104453       0.00000002       0.00000001       0.00000000       0.00000000
       0.89697737     -20.20079775       0.00000004       0.00000001       0.00000001       0.00000000
       0.89697737     -19.34615864       0.00000008       0.00000002       0.00000007       0.00000000
       0.89697737     -18.50546868       0.00000034       0.00000001       0.00000121       0.00000000
       0.89697737     -17.67730766       0.00000141       0.00000009       0.00007387       0.00000009
       0.89697737     -16.86044598       0.00000493       0.00000021       0.00045314       0.00000036
       0.89697737     -16.05380853       0.00002022       0.00000152       0.00163420       0.00001984
       0.89697737     -15.25644689       0.00008798       0.00001282       0.00843889       0.00080601
       0.89697737     -14.46751752       0.00037268       0.00008221       0.03862303       0.00787272
       0.89697737     -13.68626453       0.00168934       0.00058474       0.14815154       0.06460279
       0.89697737     -12.91200579       0.00691419       0.00336242       0.41207901       0.32851077
       0.89697737     -12.14412171       0.01950761       0.01147868       0.62468930       0.61663823
       0.89697737     -11.38204597       0.03472725       0.02302947       0.65282920       0.69384966
       0.89697737     -10.62525789       0.04280413       0.03048098       0.55363627       0.62462185
       0.89697737      -9.87327598       0.04551492       0.03131959       0.48225488       0.48579942
       0.89697737      -9.12565257       0.04812483       0.03064147       0.51937584       0.43554653
       0.89697737      -8.38196920       0.04803484       0.03238722       0.50986595       0.54018210
       0.89697737      -7.64183265       0.04665129       0.03321268       0.45715570       0.56524716
       0.89697737      -6.90487155       0.04884131       0.03079685       0.51434714       0.45277574
       0.89697737      -6.17073334       0.05024940       0.02934426       0.55817724       0.41141563
       0.89697737      -5.43908165       0.04713022       0.03098977       0.48818431       0.52199742
       0.89697737      -4.70959399       0.04503372       0.03189920       0.45838620       0.59956905
       0.89697737      -3.98195959       0.04613874       0.03006466       0.50977754       0.53176524
       0.89697737      -3.25587753       0.04658245       0.02840132       0.51680390       0.44745861
       0.89697737      -2.53105496       0.04586857       0.02840100       0.49833318       0.45977187
       0.89697737      -1.80720547       0.04524706       0.02829779       0.52243979       0.50406298
       0.89697737      -1.08404760       0.04313024       0.02727281       0.52973340       0.51901272
       0.89697737      -0.36130332       0.04016029       0.02624850       0.48726915       0.50647045
       0.89697737       0.36130332       0.04016029       0.02624850       0.48726915       0.50647045
       0.89697737       1.08404760       0.04313024       0.02727281       0.52973340       0.51901272
       0.89697737       1.80720547       0.04524706       0.02829779       0.52243979       0.50406298
       0.89697737       2.53105496       0.04586857       0.02840100       0.49833318       0.45977187
       0.89697737       3.25587753       0.04658245       0.02840132       0.51680390       0.44745861
       0.89697737       3.98195959       0.04613874       0.03006466       0.50977754       0.53176524
       0.89697737       4.70959399       0.04503372       0.03189920       0.45838620       0.59956905
       0.89697737       5.43908165       0.04713022       0.03098977       0.48818431       0.52199742
       0.89697737       6.17073334       0.05024940       0.02934426       0.55817724       0.41141563
       0.89697737       6.90487155       0.04884131       0.03079685       0.51434714       0.45277574
       0.89697737       7.64183265       0.04665129       0.03321268       0.45715570       0.56524716
       0.89697737       8.38196920       0.04803484       0.03238722       0.50986595       0.54018210
       0.89697737       9.12565257       0.04812483       0.03064147       0.51937584       0.43554653
       0.89697737       9.87327598       0.04551492       0.03131959       0.48225488       0.48579942
       0.89697737      10.62525789       0.04280413       0.03048098       0.55363627       0.62462185
       0.89697737      11.38204597       0.03472725       0.02302947       0.65282920       0.69384966
       0.89697737      12.14412171       0.01950761       0.01147868       0.62468930       0.61663823
       0.89697737      12.91200579       0.00691419       0.00336242       0.41207901       0.32851077
       0.89697737      13.68626453       0.00168934       0.00058474       0.14815154       0.06460279
       0.89697737      14.46751752       0.00037268       0.00008221       0.03862304       0.00787272
       0.89697737      15.25644689       0.00008798       0.00001282       0.00843889       0.00080601
       0.89697737      16.05380853       0.00002022       0.00000152       0.00163420       0.00001984
       0.89697737      16.86044598       0.00000493       0.00000021       0.00045314       0.00000036
       0.89697737      17.67730766       0.00000141       0.00000009       0.00007387       0.00000009
       0.89697737      18.50546868       0.00000034       0.00000001       0.00000121       0.00000000
       0.89697737      19.34615864       0.00000008       0.00000002       0.00000007       0.00000000
       0.89697737      20.20079775       0.00000004       0.00000001       0.00000001       0.00000000
       0.89697737      21.07104453       0.00000002       0.00000001       0.00000000       0.00000000
       0.89697737      21.95885997       0.00000003       0.00000002       0.00000000       0.00000000
       0.89697737      22.86659595       0.00000002       0.00000001       0.00000000       0.00000000
       0.89697737      23.79711998       0.00000005       0.00000004       0.00000002       0.00000002
       0.89697737      24.75399691       0.00000006       0.00000006       0.00000022       0.00000048
       0.89697737      25.74176318       0.00000002       0.00000002       0.00000021       0.00000065
       0.89697737      26.76635941       0.00000000       0.00000000       0.00000005       0.00000017
       0.89697737      27.83585145       0.00000000       0.00000000       0.00000000       0.00000001
       0.89697737      28.96171980       0.00000000       0.00000000       0.00000000       0.00000000
       0.89697737      30.16139374       0.00000000       0.00000000       0.00000000       0.00000000
