 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.89645721     -28.77143352       0.00000000       0.00000000       0.00000000       0.00000000
       0.89645721     -27.65296243       0.00000000       0.00000000       0.00000000       0.00000001
       0.89645721     -26.59049724       0.00000000       0.00000000       0.00000005       0.00000015
       0.89645721     -25.57263288       0.00000002       0.00000002       0.00000023       0.00000059
       0.89645721     -24.59135650       0.00000006       0.00000005       0.00000023       0.00000043
       0.89645721     -23.64076651       0.00000005       0.00000004       0.00000002       0.00000002
       0.89645721     -22.71635627       0.00000002       0.00000001       0.00000000       0.00000000
       0.89645721     -21.81458436       0.00000003       0.00000002       0.00000000       0.00000000
       0.89645721     -20.93260210       0.00000002       0.00000001       0.00000000       0.00000000
       0.89645721     -20.06807309       0.00000004       0.00000001       0.00000001       0.00000000
       0.89645721     -19.21904918       0.00000008       0.00000001       0.00000007       0.00000000
       0.89645721     -18.38388278       0.00000035       0.00000001       0.00000132       0.00000000
       0.89645721     -17.56116300       0.00000143       0.00000010       0.00008106       0.00000013
       0.89645721     -16.74966832       0.00000502       0.00000026       0.00048713       0.00000072
       0.89645721     -15.94833070       0.00002077       0.00000184       0.00180009       0.00003141
       0.89645721     -15.15620794       0.00009069       0.00001460       0.00934872       0.00099202
       0.89645721     -14.37246205       0.00038498       0.00009188       0.04234260       0.00914722
       0.89645721     -13.59634209       0.00174131       0.00063634       0.15993863       0.07228474
       0.89645721     -12.82717044       0.00704280       0.00353898       0.42884336       0.34549963
       0.89645721     -12.06433157       0.01958939       0.01178896       0.63414502       0.62596742
       0.89645721     -11.30726288       0.03453167       0.02332456       0.65678927       0.69753653
       0.89645721     -10.55544709       0.04242789       0.03069504       0.55476199       0.62620636
       0.89645721      -9.80840590       0.04518905       0.03150251       0.48169464       0.48550586
       0.89645721      -9.06569458       0.04798949       0.03083767       0.51935185       0.43254487
       0.89645721      -8.32689741       0.04814384       0.03270745       0.51435655       0.53683169
       0.89645721      -7.59162376       0.04661675       0.03379459       0.45796420       0.56821066
       0.89645721      -6.85950469       0.04840185       0.03150267       0.50300744       0.46106193
       0.89645721      -6.13018996       0.04996946       0.02981771       0.55095458       0.41248287
       0.89645721      -5.40334542       0.04727260       0.03120149       0.49322098       0.51361310
       0.89645721      -4.67865069       0.04501707       0.03217689       0.46005121       0.59641565
       0.89645721      -3.95579705       0.04580765       0.03049770       0.50499714       0.54110805
       0.89645721      -3.23448554       0.04637106       0.02872380       0.51838139       0.45539183
       0.89645721      -2.51442525       0.04575554       0.02856945       0.50135174       0.45605803
       0.89645721      -1.79533165       0.04509162       0.02858715       0.51587481       0.49352282
       0.89645721      -1.07692512       0.04339207       0.02784034       0.52222255       0.50836025
       0.89645721      -0.35892946       0.04107658       0.02702154       0.49125237       0.49977824
       0.89645721       0.35892946       0.04107658       0.02702154       0.49125237       0.49977824
       0.89645721       1.07692512       0.04339207       0.02784034       0.52222255       0.50836025
       0.89645721       1.79533165       0.04509162       0.02858715       0.51587480       0.49352282
       0.89645721       2.51442525       0.04575554       0.02856945       0.50135175       0.45605802
       0.89645721       3.23448554       0.04637106       0.02872380       0.51838139       0.45539183
       0.89645721       3.95579705       0.04580765       0.03049770       0.50499714       0.54110805
       0.89645721       4.67865069       0.04501707       0.03217689       0.46005121       0.59641565
       0.89645721       5.40334542       0.04727260       0.03120149       0.49322099       0.51361310
       0.89645721       6.13018996       0.04996946       0.02981771       0.55095458       0.41248287
       0.89645721       6.85950469       0.04840185       0.03150267       0.50300744       0.46106193
       0.89645721       7.59162376       0.04661675       0.03379459       0.45796420       0.56821066
       0.89645721       8.32689741       0.04814384       0.03270745       0.51435655       0.53683169
       0.89645721       9.06569458       0.04798949       0.03083767       0.51935184       0.43254488
       0.89645721       9.80840590       0.04518905       0.03150251       0.48169464       0.48550587
       0.89645721      10.55544709       0.04242789       0.03069504       0.55476200       0.62620637
       0.89645721      11.30726288       0.03453167       0.02332456       0.65678927       0.69753652
       0.89645721      12.06433157       0.01958939       0.01178896       0.63414501       0.62596739
       0.89645721      12.82717044       0.00704280       0.00353898       0.42884333       0.34549958
       0.89645721      13.59634209       0.00174131       0.00063634       0.15993861       0.07228472
       0.89645721      14.37246205       0.00038498       0.00009188       0.04234259       0.00914721
       0.89645721      15.15620794       0.00009069       0.00001460       0.00934872       0.00099202
       0.89645721      15.94833070       0.00002077       0.00000184       0.00180008       0.00003141
       0.89645721      16.74966832       0.00000502       0.00000026       0.00048713       0.00000072
       0.89645721      17.56116300       0.00000143       0.00000010       0.00008106       0.00000013
       0.89645721      18.38388278       0.00000035       0.00000001       0.00000132       0.00000000
       0.89645721      19.21904918       0.00000008       0.00000001       0.00000007       0.00000000
       0.89645721      20.06807309       0.00000004       0.00000001       0.00000001       0.00000000
       0.89645721      20.93260210       0.00000002       0.00000001       0.00000000       0.00000000
       0.89645721      21.81458436       0.00000003       0.00000002       0.00000000       0.00000000
       0.89645721      22.71635627       0.00000002       0.00000001       0.00000000       0.00000000
       0.89645721      23.64076651       0.00000005       0.00000004       0.00000002       0.00000002
       0.89645721      24.59135650       0.00000006       0.00000005       0.00000023       0.00000043
       0.89645721      25.57263288       0.00000002       0.00000002       0.00000023       0.00000059
       0.89645721      26.59049724       0.00000000       0.00000000       0.00000005       0.00000015
       0.89645721      27.65296243       0.00000000       0.00000000       0.00000000       0.00000001
       0.89645721      28.77143352       0.00000000       0.00000000       0.00000000       0.00000000
       0.89645721      29.96322528       0.00000000       0.00000000       0.00000000       0.00000000
       0.89645721      31.25721743       0.00000000       0.00000000       0.00000000       0.00000000
       0.89645721      32.70949121       0.00000000       0.00000000       0.00000000       0.00000000
       0.89645721      34.46698368       0.00000000       0.00000000       0.00000000       0.00000000
       1.40575729     -34.46698368       0.00000000       0.00000000       0.00000000       0.00000000
       1.40575729     -32.70949121       0.00000000       0.00000000       0.00000000       0.00000000
       1.40575729     -31.25721743       0.00000000       0.00000000       0.00000000       0.00000000
       1.40575729     -29.96322528       0.00000000       0.00000000       0.00000000       0.00000000
       1.40575729     -28.77143352       0.00000000       0.00000000       0.00000000       0.00000000
       1.40575729     -27.65296243       0.00000000       0.00000000       0.00000000       0.00000001
       1.40575729     -26.59049724       0.00000000       0.00000000       0.00000004       0.00000012
       1.40575729     -25.57263288       0.00000002       0.00000002       0.00000018       0.00000044
       1.40575729     -24.59135650       0.00000005       0.00000004       0.00000019       0.00000031
       1.40575729     -23.64076651       0.00000004       0.00000003       0.00000002       0.00000001
       1.40575729     -22.71635627       0.00000002       0.00000001       0.00000000       0.00000000
       1.40575729     -21.81458436       0.00000002       0.00000002       0.00000000       0.00000000
       1.40575729     -20.93260210       0.00000002       0.00000001       0.00000000       0.00000000
       1.40575729     -20.06807309       0.00000004       0.00000001       0.00000001       0.00000000
       1.40575729     -19.21904918       0.00000008       0.00000001       0.00000008       0.00000000
       1.40575729     -18.38388278       0.00000035       0.00000001       0.00000151       0.00000000
       1.40575729     -17.56116300       0.00000139       0.00000009       0.00008518       0.00000015
       1.40575729     -16.74966832       0.00000467       0.00000023       0.00048039       0.00000078
       1.40575729     -15.94833070       0.00001876       0.00000156       0.00162614       0.00003437
       1.40575729     -15.15620794       0.00008130       0.00001265       0.00819143       0.00088738
       1.40575729     -14.37246205       0.00034034       0.00007856       0.03820377       0.00811630
       1.40575729     -13.59634209       0.00151426       0.00053444       0.14504437       0.06312791
       1.40575729     -12.82717044       0.00618104       0.00303817       0.40309686       0.31951450
       1.40575729     -12.06433157       0.01779234       0.01058514       0.62259756       0.61622951
       1.40575729     -11.30726288       0.03278323       0.02202992       0.66338625       0.70868098
       1.40575729     -10.55544709       0.04170417       0.03036500       0.57304040       0.65732881
       1.40575729      -9.80840590       0.04473891       0.03211685       0.48494790       0.52423663
       1.40575729      -9.06569458       0.04750468       0.03127691       0.50847362       0.43933277
       1.40575729      -8.32689741       0.04840043       0.03260705       0.52331422       0.51665784
       1.40575729      -7.59162376       0.04641099       0.03480532       0.45962914       0.61907850
       1.40575729      -6.85950469       0.04560931       0.03461633       0.43010678       0.61145993
       1.40575729      -6.13018996       0.04634861       0.03312451       0.45490476       0.57178932
       1.40575729      -5.40334542       0.04643865       0.03218137       0.47461262       0.56413185
       1.40575729      -4.67865069       0.04670687       0.03092946       0.50892346       0.53065538
       1.40575729      -3.95579705       0.04702690       0.02922786       0.53500129       0.45514696
       1.40575729      -3.23448554       0.04590074       0.02874698       0.50674754       0.43635144
       1.40575729      -2.51442525       0.04445493       0.02934767       0.48219095       0.49548500
       1.40575729      -1.79533165       0.04360654       0.02915994       0.50962402       0.55587076
       1.40575729      -1.07692512       0.04175225       0.02785168       0.52574194       0.57475147
       1.40575729      -0.35892946       0.03935030       0.02662586       0.49893705       0.56332258
       1.40575729       0.35892946       0.03935030       0.02662586       0.49893705       0.56332258
       1.40575729       1.07692512       0.04175225       0.02785168       0.52574194       0.57475147
       1.40575729       1.79533165       0.04360654       0.02915994       0.50962401       0.55587076
       1.40575729       2.51442525       0.04445493       0.02934767       0.48219095       0.49548500
       1.40575729       3.23448554       0.04590074       0.02874698       0.50674754       0.43635144
       1.40575729       3.95579705       0.04702690       0.02922786       0.53500129       0.45514696
       1.40575729       4.67865069       0.04670687       0.03092946       0.50892346       0.53065538
       1.40575729       5.40334542       0.04643865       0.03218137       0.47461263       0.56413184
       1.40575729       6.13018996       0.04634861       0.03312451       0.45490476       0.57178931
       1.40575729       6.85950469       0.04560931       0.03461633       0.43010678       0.61145993
       1.40575729       7.59162376       0.04641099       0.03480532       0.45962914       0.61907851
       1.40575729       8.32689741       0.04840043       0.03260705       0.52331422       0.51665784
       1.40575729       9.06569458       0.04750468       0.03127691       0.50847362       0.43933278
       1.40575729       9.80840590       0.04473891       0.03211685       0.48494790       0.52423664
       1.40575729      10.55544709       0.04170417       0.03036500       0.57304040       0.65732882
       1.40575729      11.30726288       0.03278323       0.02202991       0.66338625       0.70868097
       1.40575729      12.06433157       0.01779234       0.01058513       0.62259754       0.61622949
       1.40575729      12.82717044       0.00618104       0.00303817       0.40309683       0.31951446
       1.40575729      13.59634209       0.00151426       0.00053444       0.14504435       0.06312789
       1.40575729      14.37246205       0.00034034       0.00007856       0.03820377       0.00811630
       1.40575729      15.15620794       0.00008130       0.00001265       0.00819142       0.00088738
       1.40575729      15.94833070       0.00001876       0.00000156       0.00162614       0.00003437
       1.40575729      16.74966832       0.00000467       0.00000023       0.00048039       0.00000078
       1.40575729      17.56116300       0.00000139       0.00000009       0.00008518       0.00000015
       1.40575729      18.38388278       0.00000035       0.00000001       0.00000151       0.00000000
       1.40575729      19.21904918       0.00000008       0.00000001       0.00000008       0.00000000
       1.40575729      20.06807309       0.00000004       0.00000001       0.00000001       0.00000000
       1.40575729      20.93260210       0.00000002       0.00000001       0.00000000       0.00000000
       1.40575729      21.81458436       0.00000002       0.00000002       0.00000000       0.00000000
       1.40575729      22.71635627       0.00000002       0.00000001       0.00000000       0.00000000
       1.40575729      23.64076651       0.00000004       0.00000003       0.00000002       0.00000001
       1.40575729      24.59135650       0.00000005       0.00000004       0.00000019       0.00000031
       1.40575729      25.57263288       0.00000002       0.00000002       0.00000018       0.00000044
       1.40575729      26.59049724       0.00000000       0.00000000       0.00000004       0.00000012
       1.40575729      27.65296243       0.00000000       0.00000000       0.00000000       0.00000001
       1.40575729      28.77143352       0.00000000       0.00000000       0.00000000       0.00000000
       1.40575729      29.96322528       0.00000000       0.00000000       0.00000000       0.00000000
       1.40575729      31.25721743       0.00000000       0.00000000       0.00000000       0.00000000
       1.40575729      32.70949121       0.00000000       0.00000000       0.00000000       0.00000000
       1.40575729      34.46698368       0.00000000       0.00000000       0.00000000       0.00000000
       1.91626324     -34.46698368       0.00000000       0.00000000       0.00000000       0.00000000
       1.91626324     -32.70949121       0.00000000       0.00000000       0.00000000       0.00000000
       1.91626324     -31.25721743       0.00000000       0.00000000       0.00000000       0.00000000
       1.91626324     -29.96322528       0.00000000       0.00000000       0.00000000       0.00000000
       1.91626324     -28.77143352       0.00000000       0.00000000       0.00000000       0.00000000
       1.91626324     -27.65296243       0.00000000       0.00000000       0.00000000       0.00000001
       1.91626324     -26.59049724       0.00000000       0.00000000       0.00000003       0.00000007
       1.91626324     -25.57263288       0.00000001       0.00000001       0.00000012       0.00000025
       1.91626324     -24.59135650       0.00000003       0.00000003       0.00000012       0.00000015
       1.91626324     -23.64076651       0.00000003       0.00000002       0.00000001       0.00000001
       1.91626324     -22.71635627       0.00000001       0.00000001       0.00000000       0.00000000
       1.91626324     -21.81458436       0.00000001       0.00000001       0.00000000       0.00000000
       1.91626324     -20.93260210       0.00000002       0.00000001       0.00000000       0.00000000
       1.91626324     -20.06807309       0.00000004       0.00000001       0.00000001       0.00000000
       1.91626324     -19.21904918       0.00000008       0.00000001       0.00000006       0.00000000
       1.91626324     -18.38388278       0.00000032       0.00000001       0.00000145       0.00000000
       1.91626324     -17.56116300       0.00000126       0.00000008       0.00006208       0.00000010
       1.91626324     -16.74966832       0.00000415       0.00000019       0.00042367       0.00000068
       1.91626324     -15.94833070       0.00001623       0.00000123       0.00150096       0.00002469
       1.91626324     -15.15620794       0.00006973       0.00001029       0.00723959       0.00071041
       1.91626324     -14.37246205       0.00028586       0.00006279       0.03337705       0.00674705
       1.91626324     -13.59634209       0.00123661       0.00041340       0.12488031       0.05089319
       1.91626324     -12.82717044       0.00508313       0.00240766       0.36381515       0.27785590
       1.91626324     -12.06433157       0.01530951       0.00890938       0.60192102       0.59220484
       1.91626324     -11.30726288       0.03004746       0.01988327       0.67031217       0.71373392
