 r  z  rhoN/2  rhoP/2  localizarionN  localizationP 
       0.90166158     -28.44025563       0.00000000       0.00000000       0.00000000       0.00000000
       0.90166158     -27.33465887       0.00000000       0.00000000       0.00000000       0.00000000
       0.90166158     -26.28442334       0.00000000       0.00000000       0.00000002       0.00000003
       0.90166158     -25.27827526       0.00000001       0.00000001       0.00000010       0.00000010
       0.90166158     -24.30829402       0.00000004       0.00000002       0.00000012       0.00000007
       0.90166158     -23.36864593       0.00000003       0.00000002       0.00000001       0.00000000
       0.90166158     -22.45487625       0.00000001       0.00000001       0.00000000       0.00000000
       0.90166158     -21.56348432       0.00000002       0.00000002       0.00000000       0.00000000
       0.90166158     -20.69165426       0.00000003       0.00000001       0.00000000       0.00000000
       0.90166158     -19.83707653       0.00000010       0.00000002       0.00000025       0.00000000
       0.90166158     -18.99782545       0.00000021       0.00000001       0.00000172       0.00000000
       0.90166158     -18.17227235       0.00000067       0.00000001       0.00004544       0.00000000
       0.90166158     -17.35902261       0.00000245       0.00000007       0.00087031       0.00000011
       0.90166158     -16.55686876       0.00000761       0.00000025       0.00440806       0.00000160
       0.90166158     -15.76475505       0.00002526       0.00000138       0.00984123       0.00003916
       0.90166158     -14.98175014       0.00009384       0.00001024       0.02838603       0.00099722
       0.90166158     -14.20702567       0.00034870       0.00006329       0.09198614       0.00923728
       0.90166158     -13.43983936       0.00136820       0.00040873       0.23509408       0.06540574
       0.90166158     -12.67952138       0.00524683       0.00233299       0.48353973       0.31797508
       0.90166158     -11.92546328       0.01533023       0.00869317       0.66615506       0.61920970
       0.90166158     -11.17710894       0.02968109       0.01972458       0.68953431       0.72129070
       0.90166158     -10.43394704       0.03971759       0.02930316       0.59184273       0.68254673
       0.90166158      -9.69550478       0.04422826       0.03241020       0.49877884       0.55505931
       0.90166158      -8.96134254       0.04803464       0.03171547       0.52559359       0.44981410
       0.90166158      -8.23104941       0.04911457       0.03260346       0.54358400       0.50834155
       0.90166158      -7.50423924       0.04672334       0.03428653       0.47364082       0.60695288
       0.90166158      -6.78054734       0.04677457       0.03273157       0.46532297       0.53891526
       0.90166158      -6.05962749       0.04933193       0.03011409       0.53159189       0.43099203
       0.90166158      -5.34114941       0.04916293       0.03023351       0.52996130       0.45832364
       0.90166158      -4.62479638       0.04738601       0.03128177       0.49007742       0.52620397
       0.90166158      -3.91026325       0.04711421       0.03066111       0.49859925       0.51468731
       0.90166158      -3.19725451       0.04666798       0.02983149       0.49843428       0.47890369
       0.90166158      -2.48548258       0.04575971       0.03040326       0.47631317       0.50495976
       0.90166158      -1.77466622       0.04644559       0.03101106       0.49734340       0.54464431
