Z	min	max
32.0	1.7656614418380308e-06	5.552843702890794e-06
33.0	0.0007123186651973598	0.0002812972078118718
34.0	0.005321833254111194	0.0022711859485339387
35.0	0.024301073201820365	0.011237676273277574
36.0	0.17501271490165143	0.07353250255944269
37.0	0.3109586142195495	0.18104645981736397
38.0	2.1266428757920384	0.920201119921475
39.0	1.575272218968481	1.3635249421391116
40.0	9.522358463948757	4.591732248078388
41.0	3.411294373624527	4.780183184691854
42.0	15.696247495524851	9.769951667280239
43.0	3.411294373624527	7.305160294015837
44.0	9.522358463948757	9.575704267294016
45.0	1.575272218968481	4.6810414309365225
46.0	2.1266428757920384	4.353251038625688
47.0	0.3109586142195495	1.2946888371039043
48.0	0.17501271490165143	0.8525570213220917
49.0	0.024301073201820365	0.1650749188545831
50.0	0.005321833254111194	0.06652245397893938
51.0	0.0007123186651973598	0.009841462528514066
52.0	1.7656614418380308e-06	0.0019574646090096087
53.0	0.0	0.00023239929011195393
54.0	0.0	5.74679577076336e-07
55.0	0.0	0.0
56.0	0.0	0.0
57.0	0.0	0.0
58.0	0.0	0.0
59.0	0.0	0.0
60.0	0.0	0.0
61.0	0.0	0.0
62.0	0.0	0.0
63.0	0.0	0.0
64.0	0.0	0.0
65.0	0.0	0.0
66.0	0.0	0.0
67.0	0.0	0.0
68.0	0.0	5.74679577076336e-07
69.0	0.0	0.00023239929011195393
70.0	1.7656614418380308e-06	0.0019574646090096087
71.0	0.0007123186651973598	0.009841462528514066
72.0	0.005321833254111194	0.06652245397893938
73.0	0.024301073201820365	0.1650749188545831
74.0	0.17501271490165143	0.8525570213220917
75.0	0.3109586142195495	1.2946888371039043
76.0	2.1266428757920384	4.353251038625688
77.0	1.575272218968481	4.6810414309365225
78.0	9.522358463948757	9.575704267294016
79.0	3.411294373624527	7.305160294015837
80.0	15.696247495524851	9.769951667280239
81.0	3.411294373624527	4.780183184691854
82.0	9.522358463948757	4.591732248078388
83.0	1.575272218968481	1.3635249421391116
84.0	2.1266428757920384	0.920201119921475
85.0	0.3109586142195495	0.18104645981736397
86.0	0.17501271490165143	0.07353250255944269
87.0	0.024301073201820365	0.011237676273277574
88.0	0.005321833254111194	0.0022711859485339387
89.0	0.0007123186651973598	0.0002812972078118718
90.0	1.7656614418380308e-06	5.552843702890794e-06
