Z	min	max
14.0	3.6997734276914565e-08	8.773281550434986e-05
15.0	1.4932473905384242e-05	0.0003698758545438333
16.0	0.00011418999207708398	0.0026358905398105735
17.0	0.0005469058595503681	0.00524210569178246
18.0	0.003895155837351569	0.03390539620631692
19.0	0.007826405615777403	0.0331460768970974
20.0	0.05043724659552721	0.17644423831953404
21.0	0.05043907791847239	0.10777131773028324
22.0	0.2668672666247661	0.42750186772566995
23.0	0.16927146429750872	0.20928302481386263
24.0	0.671057612762279	0.6359377359090848
25.0	0.34454058887755923	0.2973141228226721
26.0	1.0632948543667349	0.8139160588147087
27.0	0.5203648193930014	0.39106540795985567
28.0	1.457085787890847	1.0719945543395952
29.0	0.7238316732411121	0.5316856805262347
30.0	2.0119093692945933	1.4758731572115626
31.0	1.0175268972505573	0.7463811952872583
32.0	2.8332910419420743	2.0782288061324783
33.0	1.444293798384992	1.0595441697221422
34.0	3.9995003325039247	2.9347958285770552
35.0	2.0299078195393903	1.494285933655672
36.0	5.523250432265425	4.088992344017651
37.0	2.7028956062199194	2.0552164347313973
38.0	6.855535464840101	5.485891662916608
39.0	3.0263185855225347	2.6380295244246463
40.0	6.087742404708124	6.518857676312102
41.0	2.3363518488964137	2.8191479215835304
42.0	2.9131676964822955	5.553915706095151
43.0	0.9913337163501189	2.0835135887324006
44.0	0.6298836886771411	2.589686489583271
45.0	0.19069122571851693	0.8586601947288268
46.0	0.059049173054952483	0.5517342443337161
47.0	0.01479309666740142	0.16277780458450147
48.0	0.0025004367354541043	0.05111922735736921
49.0	0.0004336536342058185	0.01291591820116486
50.0	7.138513532008075e-05	0.004262169689862526
51.0	0.0004336536342058185	0.01291591820116486
52.0	0.0025004367354541043	0.05111922735736921
53.0	0.01479309666740142	0.16277780458450147
54.0	0.059049173054952483	0.5517342443337161
55.0	0.19069122571851693	0.8586601947288268
56.0	0.6298836886771411	2.589686489583271
57.0	0.9913337163501189	2.0835135887324006
58.0	2.9131676964822955	5.553915706095151
59.0	2.3363518488964137	2.8191479215835304
60.0	6.087742404708124	6.518857676312102
61.0	3.0263185855225347	2.6380295244246463
62.0	6.855535464840101	5.485891662916608
63.0	2.7028956062199194	2.0552164347313973
64.0	5.523250432265425	4.088992344017651
65.0	2.0299078195393903	1.494285933655672
66.0	3.9995003325039247	2.9347958285770552
67.0	1.444293798384992	1.0595441697221422
68.0	2.8332910419420743	2.0782288061324783
69.0	1.0175268972505573	0.7463811952872583
70.0	2.0119093692945933	1.4758731572115626
71.0	0.7238316732411121	0.5316856805262347
72.0	1.457085787890847	1.0719945543395952
73.0	0.5203648193930014	0.39106540795985567
74.0	1.0632948543667349	0.8139160588147087
75.0	0.34454058887755923	0.2973141228226721
76.0	0.671057612762279	0.6359377359090848
77.0	0.16927146429750872	0.20928302481386263
78.0	0.2668672666247661	0.42750186772566995
79.0	0.05043907791847239	0.10777131773028324
80.0	0.05043724659552721	0.17644423831953404
81.0	0.007826405615777403	0.0331460768970974
82.0	0.003895155837351569	0.03390539620631692
83.0	0.0005469058595503681	0.00524210569178246
84.0	0.00011418999207708398	0.0026358905398105735
85.0	1.4932473905384242e-05	0.0003698758545438333
86.0	3.6997734276914565e-08	8.773281550434986e-05
