A	min	max
41.0	0.0	1.9381467565980746e-07
42.0	0.0	2.746756114864583e-06
43.0	0.0	1.0690891076162919e-05
44.0	1.3333154825766891e-09	4.7737598803175814e-05
45.0	9.26306369135481e-09	0.00014957392268079758
46.0	4.3874326602024055e-07	0.00043031453600885476
47.0	1.946148342208978e-06	0.0011115149580036184
48.0	1.5189147500940015e-05	0.0026214624954926016
49.0	5.342889729527754e-05	0.005638845275947155
50.0	0.0001844030718120013	0.011097868503862338
51.0	0.0005297168959263915	0.01998341199789466
52.0	0.001388448831534479	0.033009164779153555
53.0	0.0033094990885701066	0.050156538103689835
54.0	0.00721706025868215	0.0704122177017714
55.0	0.014379839242509292	0.09185885206471109
56.0	0.026263874987382405	0.11228225162632596
57.0	0.044035411441975744	0.1299072976544668
58.0	0.06800782283024732	0.1439729801388949
59.0	0.09714480596022881	0.15472344504478938
60.0	0.129127239523916	0.1630155311326877
61.0	0.16095439777038098	0.16978149427200834
62.0	0.19004335133579858	0.1758268540528578
63.0	0.21500535667149712	0.1817835278832724
64.0	0.23586667583614446	0.18818441006726477
65.0	0.25354076092159616	0.19537379945246394
66.0	0.2692430494099173	0.20350811189216791
67.0	0.2840246093325399	0.2125691981712885
68.0	0.29882302435514063	0.22260475504170618
69.0	0.3144240052941234	0.2337502338250995
70.0	0.33142742052790924	0.24619469384967985
71.0	0.35003590875202034	0.25993981504861996
72.0	0.3702824161684379	0.2749497020830949
73.0	0.3922003861738014	0.2912167781173693
74.0	0.4161017935354992	0.3089616788886982
75.0	0.4422983960437113	0.3284126996972827
76.0	0.4709810988472931	0.3497099067575947
77.0	0.5019909378897398	0.3727351333596199
78.0	0.5353402051023922	0.39749741951329143
79.0	0.5712764275345646	0.4241805558560708
80.0	0.6102891495014603	0.4531480351561668
81.0	0.6525191773661908	0.4845044080609205
82.0	0.6979148413607913	0.5182113090611544
83.0	0.7462961630654702	0.5541351017201639
84.0	0.7980061191585069	0.5925304509094994
85.0	0.8535694391581959	0.6337869754686867
86.0	0.9134081780104313	0.6782180569638501
87.0	0.9772109674376526	0.7255925001930066
88.0	1.0447214002537988	0.7757199193121584
89.0	1.1160030094197186	0.8286474883790396
90.0	1.1917965181428605	0.8849251956063688
91.0	1.2725159210622405	0.9448604090661561
92.0	1.3580935870842372	1.0084013313385412
93.0	1.4477668334325586	1.0749789757998904
94.0	1.5414212685372641	1.144526573747716
95.0	1.6395398709254798	1.2174104710160885
96.0	1.742527119204955	1.2941521070543491
97.0	1.8493562351975887	1.3743128532354785
98.0	1.95712051789857	1.4569471776951715
99.0	2.060996840807655	1.5409271998032736
100.0	2.1536665810298667	1.6258096757200442
101.0	2.2232632630417215	1.711123442651567
102.0	2.252063639869931	1.7954069539800837
103.0	2.2184961582734855	1.8756232141070417
104.0	2.1043898048782412	1.9476451414198757
105.0	1.9040537044752146	2.0062072606601213
106.0	1.630349994692581	2.043629217737511
107.0	1.3130232306003335	2.0478033528618265
108.0	0.9903002754275702	2.0027993425022887
109.0	0.6972714159915023	1.8934434758017205
110.0	0.4573250654823773	1.7131795640365772
111.0	0.2788711191436095	1.4701367761484676
112.0	0.1578864220141906	1.187716833588195
113.0	0.08281467729823551	0.898130715793238
114.0	0.04018858302857332	0.6328874533268393
115.0	0.017972392203802375	0.4140939954767895
116.0	0.00740612845333707	0.2508296123189072
117.0	0.0027538050616103733	0.14022141457153722
118.0	0.0009467189527096169	0.0721840840089106
119.0	0.0002781944330111699	0.034096671987639625
120.0	6.961661173140512e-05	0.014749396642078269
121.0	1.6031733748307593e-05	0.005791046178391308
122.0	6.631089123035761e-07	0.0020779646370957345
123.0	0.0	0.0006415297533707007
124.0	0.0	0.0001804301794319767
125.0	0.0	3.9027183315680524e-05
126.0	0.0	2.4603129493521966e-06
127.0	0.0	0.0
128.0	0.0	0.0
129.0	0.0	0.0
130.0	0.0	0.0
131.0	0.0	0.0
132.0	0.0	0.0
133.0	0.0	0.0
134.0	0.0	2.4603129493521966e-06
135.0	0.0	3.9027183315680524e-05
136.0	0.0	0.0001804301794319767
137.0	0.0	0.0006415297533707007
138.0	6.631089123035761e-07	0.0020779646370957345
139.0	1.6031733748307593e-05	0.005791046178391308
140.0	6.961661173140512e-05	0.014749396642078269
141.0	0.0002781944330111699	0.034096671987639625
142.0	0.0009467189527096169	0.0721840840089106
143.0	0.0027538050616103733	0.14022141457153722
144.0	0.00740612845333707	0.2508296123189072
145.0	0.017972392203802375	0.4140939954767895
146.0	0.04018858302857332	0.6328874533268393
147.0	0.08281467729823551	0.898130715793238
148.0	0.1578864220141906	1.187716833588195
149.0	0.2788711191436095	1.4701367761484676
150.0	0.4573250654823773	1.7131795640365772
151.0	0.6972714159915023	1.8934434758017205
152.0	0.9903002754275702	2.0027993425022887
153.0	1.3130232306003335	2.0478033528618265
154.0	1.630349994692581	2.043629217737511
155.0	1.9040537044752146	2.0062072606601213
156.0	2.1043898048782412	1.9476451414198757
157.0	2.2184961582734855	1.8756232141070417
158.0	2.252063639869931	1.7954069539800837
159.0	2.2232632630417215	1.711123442651567
160.0	2.1536665810298667	1.6258096757200442
161.0	2.060996840807655	1.5409271998032736
162.0	1.95712051789857	1.4569471776951715
163.0	1.8493562351975887	1.3743128532354785
164.0	1.742527119204955	1.2941521070543491
165.0	1.6395398709254798	1.2174104710160885
166.0	1.5414212685372641	1.144526573747716
167.0	1.4477668334325586	1.0749789757998904
168.0	1.3580935870842372	1.0084013313385412
169.0	1.2725159210622405	0.9448604090661561
170.0	1.1917965181428605	0.8849251956063688
171.0	1.1160030094197186	0.8286474883790396
172.0	1.0447214002537988	0.7757199193121584
173.0	0.9772109674376526	0.7255925001930066
174.0	0.9134081780104313	0.6782180569638501
175.0	0.8535694391581959	0.6337869754686867
176.0	0.7980061191585069	0.5925304509094994
177.0	0.7462961630654702	0.5541351017201639
178.0	0.6979148413607913	0.5182113090611544
179.0	0.6525191773661908	0.4845044080609205
180.0	0.6102891495014603	0.4531480351561668
181.0	0.5712764275345646	0.4241805558560708
182.0	0.5353402051023922	0.39749741951329143
183.0	0.5019909378897398	0.3727351333596199
184.0	0.4709810988472931	0.3497099067575947
185.0	0.4422983960437113	0.3284126996972827
186.0	0.4161017935354992	0.3089616788886982
187.0	0.3922003861738014	0.2912167781173693
188.0	0.3702824161684379	0.2749497020830949
189.0	0.35003590875202034	0.25993981504861996
190.0	0.33142742052790924	0.24619469384967985
191.0	0.3144240052941234	0.2337502338250995
192.0	0.29882302435514063	0.22260475504170618
193.0	0.2840246093325399	0.2125691981712885
194.0	0.2692430494099173	0.20350811189216791
195.0	0.25354076092159616	0.19537379945246394
196.0	0.23586667583614446	0.18818441006726477
197.0	0.21500535667149712	0.1817835278832724
198.0	0.19004335133579858	0.1758268540528578
199.0	0.16095439777038098	0.16978149427200834
200.0	0.129127239523916	0.1630155311326877
201.0	0.09714480596022881	0.15472344504478938
202.0	0.06800782283024732	0.1439729801388949
203.0	0.044035411441975744	0.1299072976544668
204.0	0.026263874987382405	0.11228225162632596
205.0	0.014379839242509292	0.09185885206471109
206.0	0.00721706025868215	0.0704122177017714
207.0	0.0033094990885701066	0.050156538103689835
208.0	0.001388448831534479	0.033009164779153555
209.0	0.0005297168959263915	0.01998341199789466
210.0	0.0001844030718120013	0.011097868503862338
211.0	5.342889729527754e-05	0.005638845275947155
212.0	1.5189147500940015e-05	0.0026214624954926016
213.0	1.946148342208978e-06	0.0011115149580036184
214.0	4.3874326602024055e-07	0.00043031453600885476
215.0	9.26306369135481e-09	0.00014957392268079758
216.0	1.3333154825766891e-09	4.7737598803175814e-05
217.0	0.0	1.0690891076162919e-05
218.0	0.0	2.746756114864583e-06
219.0	0.0	1.9381467565980746e-07
