Q20	Q30	Q40	M_22	M_32	M_33	M_42	M_43	M_44	EHFB
0.0	8.0	0.0	0.03996	0.04043	0.4248	0.00343	0.07524	0.1976	21.395445999999993
0.0	8.0	8.0	0.02083	0.0213	0.1526	0.002201	0.07565	0.1801	29.47434199999998
0.0	8.0	16.0	0.02514	0.008193	0.1271	0.02217	0.04845	0.07794	39.83788199999981
0.0	8.0	24.0	0.02374	0.00761	0.1146	0.02442	0.05894	0.07812	55.74038699999983
0.0	8.0	32.0	0.04519	0.005739	0.02141	0.05485	0.003633	0.07537	73.10141699999986
0.0	8.0	40.0	0.05633	0.0311	0.08227	0.05161	0.004494	0.07811	80.63902299999995
0.0	8.0	48.0	0.05927	0.000298	0.02554	0.0758	0.003644	0.1082	92.40117899999996
0.0	8.0	56.0	0.05909	0.001808	0.0227	0.07536	0.002367	0.1065	102.02465299999994
0.0	8.0	64.0	0.08313	0.01646	0.0552	0.09759	0.003345	0.1384	112.36554899999987
0.0	8.0	72.0	0.06931	0.03239	0.02813	0.06603	0.03371	0.06827	123.52383199999986
0.0	8.0	80.0	0.09358	0.001692	0.0354	0.1212	0.009796	0.1732	136.81985799999984
0.0	8.0	88.0	0.04782	0.005965	0.04005	0.05966	0.0006585	0.09175	149.7944809999999
0.0	8.0	96.0	0.05261	0.02132	0.04672	0.05509	0.01207	0.07722	165.0830309999999
0.0	8.0	104.0	0.03589	0.01431	0.03776	0.03485	0.003108	0.05909	185.621308
0.0	8.0	112.0	0.03169193710714849	0.000365246233732866	0.031075407870362653	0.041075172725762756	-0.0034732270890077003	0.06840478316368376	199.30040737659988
0.0	8.0	120.0	0.02953	0.00395	0.03066	0.0363	0.0001578	0.05893	204.3807589999999
0.0	8.0	128.0	0.02724	0.002765	0.04187	0.03095	0.004611	0.05637	210.97488599999997
0.0	8.0	136.0	0.05763	0.004125	0.03651	0.07315	0.006456	0.114	214.97353999999996
0.0	8.0	144.0	0.04988	0.004214	0.02619	0.06416	0.001136	0.09609	220.72799499999996
0.0	8.0	152.0	0.05466	0.004315	0.02993	0.0711	0.008378	0.1093	228.19941399999993
0.0	8.0	160.0	0.0659	0.005695	0.0332	0.08872	0.006139	0.14	237.33958399999983
0.0	8.0	168.0	0.0259	0.002493	0.03519	0.03013	0.002386	0.05431	247.6629989999999
0.0	8.0	176.0	0.02584	0.0002037	0.02731	0.03072	0.001093	0.05159	258.1063609999999
0.0	8.0	184.0	0.01586	0.0001314	0.03484	0.01711	0.0004856	0.03577	268.7431419999998
0.0	8.0	192.0	0.01426	0.001706	0.03275	0.01452	0.004305	0.03073	277.8707179999999
0.0	8.0	200.0	0.01549	0.004164	0.03803	0.01423	0.002378	0.03097	286.57030799999984
0.0	12.0	0.0	0.03071	0.05028	0.333	0.000647	0.04326	0.1351	30.239282000000003
0.0	12.0	8.0	0.04559	0.0722	0.3205	0.002174	0.0737	0.1748	29.005236999999852
0.0	12.0	16.0	0.02729	0.03464	0.1632	0.008282	0.04051	0.05259	40.584425999999894
0.0	12.0	24.0	0.02238	0.01912	0.1574	0.01456	0.07046	0.07083	50.653184999999894
0.0	12.0	32.0	0.04168	0.001041	0.1064	0.05208	0.05938	0.1133	67.31939799999986
0.0	12.0	40.0	0.0682	0.007959	0.02463	0.08389	0.006198	0.1134	77.73268099999996
0.0	12.0	48.0	0.0716	0.001483	0.04323	0.09092	0.001554	0.1344	88.38209199999983
0.0	12.0	56.0	0.06252	0.007264	0.04111	0.07478	0.004321	0.107	98.44647899999995
0.0	12.0	64.0	0.09582	0.04747	0.0358	0.09478	0.04978	0.09917	110.6795239999999
0.0	12.0	72.0	0.05024	0.003475	0.03619	0.06135	0.006943	0.09081	125.97718599999985
0.0	12.0	80.0	0.06188	0.003858	0.02329	0.08051	0.009092	0.1152	138.0254319999999
0.0	12.0	88.0	0.04497	0.003469	0.02767	0.0583	0.004337	0.0874	151.5307389999998
